file,rows,action,original_columns,patched_columns
access_control_workload_sensitivity.csv,25920,dataset_specific_N_added,15,17
attack.csv,3200,dataset_specific_N_added,8,10
audit.csv,12,request_only_no_N_added,8,8
audit_negative_tests.csv,108,request_only_no_N_added,9,9
baseline_unified_metrics.csv,10400,dataset_specific_N_added,20,22
bypass_ablation.csv,5600,dataset_specific_N_added,17,19
concurrency_crash_consistency.csv,720,dataset_specific_N_added,10,12
diskann_vamana_validation.csv,420,dataset_specific_N_added,15,17
exact_linear_scan_reference.csv,5600,dataset_specific_N_added,9,11
exception_rate_sensitivity.csv,7200,dataset_specific_N_added,14,16
file_size_report.csv,34,no_dataset_or_scale_N_unchanged,4,4
graph_bypass_oracle_comparison.csv,2400,dataset_specific_N_added,15,17
graph_construction_determinism.csv,1296,dataset_specific_N_added,12,14
hub_bridge_adversarial_revocation.csv,1000,dataset_specific_N_added,10,12
large_scale_stress.csv,180,N_equals_scale_N,22,23
latency_breakdown.csv,3360,dataset_specific_N_added,13,15
leakage_instrumentation.csv,11520,dataset_specific_N_added,17,19
leakage_recall.csv,11520,dataset_specific_N_added,9,11
memory.csv,288,dataset_specific_N_added,20,22
memory_accounting.csv,1440,dataset_specific_N_added,20,22
micro_toy_graph_trace.csv,24,toy_N_30_added,13,15
oracle_stability.csv,2200,dataset_specific_N_added,9,11
per_query_trace_artifact.csv,1200,dataset_specific_N_added,15,17
physical_global_erasure_split.csv,240,dataset_specific_N_added,16,18
rag_quality.csv,200,dataset_specific_N_added,19,21
rag_quality_rerun.csv,200,dataset_specific_N_added,19,21
recoverability.csv,40,dataset_specific_N_added,5,7
reverse_adjacency_cost.csv,240,dataset_specific_N_added,12,14
routing_trace.csv,11520,dataset_specific_N_added,17,19
same_role_user_level_revocation.csv,7200,dataset_specific_N_added,12,14
scalability.csv,180,N_equals_scale_N,22,23
statistical_reruns_summary.csv,48,dataset_specific_N_added,12,14
stats_summary.csv,48,dataset_specific_N_added,12,14
throughput_window.csv,1800,dataset_specific_N_added,7,9
view_scope_unaffected_user_drift.csv,7200,dataset_specific_N_added,12,14
