dataset,N,N_indexed,roles,users,shared_fraction,private_fraction,revocation_mix,target_pattern,seed,effective_view_class_count,overlay_size_bytes,memory_ratio_vs_shared,query_latency_ms,drift10,operational_leakage,revocation_throughput
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-role-heavy,random,0,100,252922675,1.0,8.1548,0.00978,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-role-heavy,random,1,100,252922675,1.0,8.1548,0.00978,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-role-heavy,random,2,100,252922675,1.0,8.1548,0.00978,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-role-heavy,hub,0,100,314906542,1.0,8.1548,0.012912,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-role-heavy,hub,1,100,314906542,1.0,8.1548,0.012912,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-role-heavy,hub,2,100,314906542,1.0,8.1548,0.012912,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-role-heavy,cluster,0,100,284983296,1.0,8.1548,0.0114,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-role-heavy,cluster,1,100,284983296,1.0,8.1548,0.0114,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-role-heavy,cluster,2,100,284983296,1.0,8.1548,0.0114,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-role-heavy,bridge,0,100,325593415,1.0,8.1548,0.013452,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-role-heavy,bridge,1,100,325593415,1.0,8.1548,0.013452,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-role-heavy,bridge,2,100,325593415,1.0,8.1548,0.013452,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-user-heavy,random,0,100,252922675,1.0,8.1548,0.00978,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-user-heavy,random,1,100,252922675,1.0,8.1548,0.00978,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-user-heavy,random,2,100,252922675,1.0,8.1548,0.00978,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-user-heavy,hub,0,100,314906542,1.0,8.1548,0.012912,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-user-heavy,hub,1,100,314906542,1.0,8.1548,0.012912,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-user-heavy,hub,2,100,314906542,1.0,8.1548,0.012912,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-user-heavy,cluster,0,100,284983296,1.0,8.1548,0.0114,0.0,48166.925
