table,dataset,N,N_indexed,pattern,frac,metric,baseline,n_pairs,lethe_mean,baseline_mean,mean_diff_lethe_minus_baseline,ci_low,ci_high,p_raw,p_holm,effect_size,effect_size_type,test,analysis_scope,metric_family,appendix_destination,attribution_policy,effect_size_note
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,random,0.5,scored_leakage,Tombstone,10,0.0,0.18854415,-0.18854415,-0.19277587,-0.1846736,1.980363614e-14,4.752872673e-13,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,random,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.0072753,0.1217064,-0.1144311,-0.1167668,-0.11201063,1.627450185e-14,4.231370481e-13,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,random,0.5,recall10_vs_exact_topk,Tombstone,10,0.9770594,0.9418951,0.0351643,0.0335898,0.03675741,1.599288262e-11,2.398932393e-10,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,cluster,0.5,scored_leakage,Tombstone,10,0.0,0.26296775,-0.26296775,-0.26912801,-0.25682011,3.83797971e-14,8.059757392e-13,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,cluster,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.0099189,0.1760221,-0.1661032,-0.16783464,-0.16394185,8.503946468e-17,3.82677591e-15,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,cluster,0.5,recall10_vs_exact_topk,Tombstone,10,0.9764044,0.9412113,0.0351931,0.03381455,0.0367955,1.053333334e-11,1.685333334e-10,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,hub,0.5,scored_leakage,Tombstone,10,0.0,0.3152715,-0.3152715,-0.3201584,-0.31030832,1.097718137e-15,4.171328922e-14,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,hub,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.0135893,0.2248219,-0.2112326,-0.21476615,-0.20760784,2.154430169e-15,7.229837165e-14,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,hub,0.5,recall10_vs_exact_topk,Tombstone,10,0.9748729,0.9417691,0.0331038,0.03093825,0.03506627,2.930098134e-10,2.930098134e-09,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,bridge,0.5,scored_leakage,Tombstone,10,0.0,0.3182233,-0.3182233,-0.32416006,-0.31239002,5.627100515e-15,1.74440116e-13,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
