dataset,N,N_indexed,method,attack,frac,seed,recon_f1,recon_em,distinguish_auc
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.1,0,0.370563,0.033929,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.1,0,,,0.793633
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.1,1,0.36307,0.03949,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.1,1,,,0.782609
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.1,2,0.363732,0.029958,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.1,2,,,0.781538
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.1,3,0.38916,0.032698,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.1,3,,,0.789356
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.1,4,0.36412,0.02446,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.1,4,,,0.781425
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.1,5,0.345455,0.04498,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.1,5,,,0.782158
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.1,6,0.328726,0.029609,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.1,6,,,0.767935
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.1,7,0.404374,0.042119,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.1,7,,,0.810581
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.1,8,0.324811,0.039079,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.1,8,,,0.765268
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.1,9,0.356327,0.059381,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.1,9,,,0.786212
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.2,0,0.368759,0.035957,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.2,0,,,0.815521
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.2,1,0.422097,0.031667,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.2,1,,,0.853299
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.2,2,0.367569,0.041723,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.2,2,,,0.808325
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.2,3,0.331953,0.041004,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.2,3,,,0.802295
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.2,4,0.341178,0.051274,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.2,4,,,0.799178
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.2,5,0.367286,0.03711,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.2,5,,,0.820492
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.2,6,0.337916,0.029529,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.2,6,,,0.797274
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.2,7,0.389547,0.052895,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.2,7,,,0.827191
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.2,8,0.348848,0.05683,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.2,8,,,0.80918
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.2,9,0.430741,0.049243,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.2,9,,,0.853487
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.3,0,0.364491,0.040249,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.3,0,,,0.841053
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.3,1,0.410295,0.057911,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.3,1,,,0.868442
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.3,2,0.357614,0.040557,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.3,2,,,0.840178
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.3,3,0.41081,0.061626,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.3,3,,,0.878203
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.3,4,0.396662,0.043088,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.3,4,,,0.872406
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.3,5,0.390696,0.058922,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.3,5,,,0.859633
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.3,6,0.377013,0.045378,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.3,6,,,0.854312
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.3,7,0.406074,0.058975,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.3,7,,,0.872381
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.3,8,0.38093,0.045118,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.3,8,,,0.853272
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.3,9,0.367534,0.052228,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.3,9,,,0.844732
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.4,0,0.449912,0.071943,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.4,0,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.4,1,0.421338,0.048772,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.4,1,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.4,2,0.400989,0.05547,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.4,2,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.4,3,0.442365,0.056176,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.4,3,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.4,4,0.427228,0.063009,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.4,4,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.4,5,0.367447,0.048728,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.4,5,,,0.878076
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.4,6,0.350416,0.069987,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.4,6,,,0.86965
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.4,7,0.422982,0.057073,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.4,7,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.4,8,0.383681,0.068712,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.4,8,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.4,9,0.396494,0.054185,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.4,9,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.5,0,0.466189,0.058975,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.5,0,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.5,1,0.431136,0.060516,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.5,1,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.5,2,0.443393,0.076824,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.5,2,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.5,3,0.441345,0.07228,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.5,3,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.5,4,0.459187,0.073797,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.5,4,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.5,5,0.412283,0.042127,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.5,5,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.5,6,0.394033,0.075898,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.5,6,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.5,7,0.387607,0.057532,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.5,7,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.5,8,0.38188,0.06268,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.5,8,,,0.88
LegalBench-RAG,1200000,1200000,Tombstone,A1_reconstruction,0.5,9,0.357278,0.058244,
LegalBench-RAG,1200000,1200000,Tombstone,A2_distinguishing,0.5,9,,,0.88
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.1,0,0.316562,0.033478,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.1,0,,,0.78
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.1,1,0.373136,0.052,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.1,1,,,0.80576044
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.1,2,0.364723,0.047901,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.1,2,,,0.8019824600000001
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.1,3,0.324597,0.048704,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.1,3,,,0.78
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.1,4,0.367103,0.040478,
