dataset,N,N_indexed,method,pattern,frac,seed,result_leakage,scored_leakage,frontier_leakage,expanded_leakage,returned_leakage,drift10_vs_oracle_rebuild,recall10_vs_exact_topk,latency_mean_ms,latency_p95_ms,latency_p99_ms,memory_ratio_vs_shared,revocation_throughput,compliance_window_s,build_time_s,update_time_ms,operational_leakage
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,0,0.0,0.09231293,0.12780276,0.14668477,0.0,0.026696,0.943256,7.876207,13.427825,19.629715,1.007373,95077.0,3604.179471,10.345,0.010518,0.09328755
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,1,0.0,0.08962156,0.12570468,0.15667736,0.0,0.03703,0.939976,7.499946,13.269485,20.010079,1.016724,95077.0,3776.334632,10.288,0.010518,0.09037702
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,2,0.0,0.09136829,0.11975448,0.1325439,0.0,0.026442,0.94155,7.519691,13.932561,20.178113,1.008404,95077.0,3559.912404,10.636,0.010518,0.09045701
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,3,0.0,0.09091716,0.11144991,0.11484833,0.0,0.038499,0.944416,7.149677,13.208731,19.350241,1.000789,95077.0,3724.197209,9.717,0.010518,0.08758255
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,4,0.0,0.10287843,0.1315812,0.15091258,0.0,0.026408,0.946704,7.692252,13.134054,19.551288,1.023845,95077.0,3783.2538,10.908,0.010518,0.10018646
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,5,0.0,0.10634472,0.13131284,0.13233115,0.0,0.033183,0.942574,7.361626,14.078394,19.042344,0.993086,95077.0,3463.047999,9.404,0.010518,0.09994123
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,6,0.0,0.10143777,0.1293386,0.15608528,0.0,0.036998,0.943008,7.082141,13.21347,19.221116,1.009341,95077.0,3630.32372,10.88,0.010518,0.09826356
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,7,0.0,0.10700114,0.12603163,0.15577746,0.0,0.032694,0.946654,7.353876,12.863704,19.906483,0.995628,95077.0,3639.369319,9.998,0.010518,0.10164244
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,8,0.0,0.10116394,0.13050033,0.14604092,0.0,0.033037,0.944797,7.471922,14.05833,18.107291,0.997081,95077.0,3436.073031,9.759,0.010518,0.09727811
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,9,0.0,0.10994873,0.13955052,0.16445643,0.0,0.028961,0.945971,7.368934,13.390968,19.762789,1.002632,95077.0,3656.364764,10.808,0.010518,0.10671432
