dataset,N,N_indexed,variant,pattern,frac,seed,score_frontier_expand_result_leakage,drift10_vs_oracle_rebuild,recall10_vs_exact_topk,recall10_vs_oracle,latency_mean_ms,latency_p95_ms,latency_p99_ms,overlay_edges,overlay_memory_bytes,revocation_time_ms,distance_computations,expanded_nodes
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,0,0.0,0.051241,0.927278,0.944275,7.126822,13.506569,18.877415,0,0,0.079046,65006,15062
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,1,0.0,0.036756,0.928739,0.945763,7.471201,13.683485,17.858696,0,0,0.08916,62465,15425
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,2,0.0,0.050078,0.928749,0.945773,7.462104,13.363777,18.617967,0,0,0.094714,66370,14560
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,3,0.0,0.05417,0.926767,0.943755,7.208366,12.828386,19.171429,0,0,0.092955,64775,13820
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,4,0.0,0.048936,0.924377,0.941321,7.278302,13.026288,18.049267,0,0,0.07664,63480,14930
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,5,0.0,0.059531,0.926243,0.943221,7.059248,13.426836,18.248395,0,0,0.078456,64168,15132
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,6,0.0,0.060882,0.933645,0.950759,7.1463,13.410877,18.721902,0,0,0.103061,63559,15029
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,7,0.0,0.055164,0.929457,0.946493,7.114066,13.38888,19.31563,0,0,0.075357,64044,14631
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,8,0.0,0.052938,0.930097,0.947146,7.294325,13.412447,18.517729,0,0,0.087463,60835,15020
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,9,0.0,0.048463,0.929393,0.946429,7.396205,13.009093,19.758364,0,0,0.076582,62718,14519
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.1,0,0.0,0.006023,0.974527,0.99239,8.712677,14.941694,22.111666,15120,1,0.116278,74140,17243
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.1,1,0.0,0.003404,0.976529,0.994429,8.383155,15.455567,21.188624,15120,1,0.119656,71695,17929
