method,crash_point,rows,leakage_after_recovery_mean,leakage_after_recovery_distinct,audit_raw_pass_rate,safe_mode_raw_rate,audit_correct_response_rate,safe_mode_correct_response_rate,leakage_correct_response_rate,full_recovery_correct_response_rate,audit_raw_pass_rate_pct,safe_mode_raw_rate_pct,audit_correct_response_rate_pct,safe_mode_correct_response_rate_pct,leakage_correct_response_rate_pct,full_recovery_correct_response_rate_pct
Lethe,crash_after_audit_log_append,20,0.0,1,0.8,0.2,1.0,1.0,1.0,1.0,80.0,20.0,100.0,100.0,100.0,100.0
Lethe,crash_after_key_destruction,20,0.0,1,1.0,0.4,1.0,1.0,1.0,1.0,100.0,40.0,100.0,100.0,100.0,100.0
Lethe,crash_after_overlay_write,20,0.0,1,1.0,0.4,1.0,1.0,1.0,1.0,100.0,40.0,100.0,100.0,100.0,100.0
Lethe,crash_after_predicate_update,20,0.0,1,1.0,0.4,1.0,1.0,1.0,1.0,100.0,40.0,100.0,100.0,100.0,100.0
Lethe,crash_after_reverse_adjacency_update,20,0.0,1,1.0,0.2,1.0,1.0,1.0,1.0,100.0,20.0,100.0,100.0,100.0,100.0
Lethe,crash_during_overlay_replay,20,0.0,1,0.8,0.2,1.0,1.0,1.0,1.0,80.0,20.0,100.0,100.0,100.0,100.0
Lethe,crash_during_predicate_replay,20,0.0,1,0.8,0.2,1.0,1.0,1.0,1.0,80.0,20.0,100.0,100.0,100.0,100.0
Lethe,recovery_missing_audit_record,20,0.0,1,0.8,0.6,1.0,1.0,1.0,1.0,80.0,60.0,100.0,100.0,100.0,100.0
Lethe,recovery_missing_overlay,20,0.0,1,0.8,0.4,1.0,1.0,1.0,1.0,80.0,40.0,100.0,100.0,100.0,100.0
Periodic-rebuild,crash_after_audit_log_append,20,0.039209966,5,0.0,0.0,,,,,0.0,0.0,,,,
Periodic-rebuild,crash_after_key_destruction,20,0.03803976,5,0.0,0.0,,,,,0.0,0.0,,,,
Periodic-rebuild,crash_after_overlay_write,20,0.048892807999999996,5,0.0,0.0,,,,,0.0,0.0,,,,
Periodic-rebuild,crash_after_predicate_update,20,0.052714202,5,0.0,0.0,,,,,0.0,0.0,,,,
Periodic-rebuild,crash_after_reverse_adjacency_update,20,0.046337524000000005,5,0.0,0.0,,,,,0.0,0.0,,,,
Periodic-rebuild,crash_during_overlay_replay,20,0.053108794,5,0.0,0.0,,,,,0.0,0.0,,,,
Periodic-rebuild,crash_during_predicate_replay,20,0.056072234,5,0.0,0.0,,,,,0.0,0.0,,,,
Periodic-rebuild,recovery_missing_audit_record,20,0.04771822,5,0.0,0.0,,,,,0.0,0.0,,,,
Periodic-rebuild,recovery_missing_overlay,20,0.067906488,5,0.0,0.0,,,,,0.0,0.0,,,,
Physical-delete,crash_after_audit_log_append,20,0.0,1,0.0,0.0,,,1.0,,0.0,0.0,,,100.0,
Physical-delete,crash_after_key_destruction,20,0.0,1,0.0,0.0,,,1.0,,0.0,0.0,,,100.0,
Physical-delete,crash_after_overlay_write,20,0.0,1,0.0,0.0,,,1.0,,0.0,0.0,,,100.0,
Physical-delete,crash_after_predicate_update,20,0.0,1,0.0,0.0,,,1.0,,0.0,0.0,,,100.0,
Physical-delete,crash_after_reverse_adjacency_update,20,0.0,1,0.0,0.0,,,1.0,,0.0,0.0,,,100.0,
Physical-delete,crash_during_overlay_replay,20,0.0,1,0.0,0.0,,,1.0,,0.0,0.0,,,100.0,
Physical-delete,crash_during_predicate_replay,20,0.0,1,0.0,0.0,,,1.0,,0.0,0.0,,,100.0,
Physical-delete,recovery_missing_audit_record,20,0.0,1,0.0,0.0,,,1.0,,0.0,0.0,,,100.0,
Physical-delete,recovery_missing_overlay,20,0.0,1,0.0,0.0,,,1.0,,0.0,0.0,,,100.0,
Tombstone,crash_after_audit_log_append,20,0.06407283,5,0.0,0.0,,,,,0.0,0.0,,,,
Tombstone,crash_after_key_destruction,20,0.06242833999999999,5,0.0,0.0,,,,,0.0,0.0,,,,
Tombstone,crash_after_overlay_write,20,0.07672884199999999,5,0.0,0.0,,,,,0.0,0.0,,,,
Tombstone,crash_after_predicate_update,20,0.082968842,5,0.0,0.0,,,,,0.0,0.0,,,,
Tombstone,crash_after_reverse_adjacency_update,20,0.074307462,5,0.0,0.0,,,,,0.0,0.0,,,,
Tombstone,crash_during_overlay_replay,20,0.08343104999999999,5,0.0,0.0,,,,,0.0,0.0,,,,
Tombstone,crash_during_predicate_replay,20,0.089794758,5,0.0,0.0,,,,,0.0,0.0,,,,
Tombstone,recovery_missing_audit_record,20,0.077740506,5,0.0,0.0,,,,,0.0,0.0,,,,
Tombstone,recovery_missing_overlay,20,0.10852737399999998,5,0.0,0.0,,,,,0.0,0.0,,,,
