method,crash_point,rows,audit_expected_pass,audit_raw_pass,audit_correct_response,safe_mode_expected,safe_mode_raw,safe_mode_correct_response,recovery_correct_response
Lethe,crash_after_audit_log_append,20,0.0,0.8,0.2,0.0,0.2,0.8,0.0
Lethe,crash_after_key_destruction,20,1.0,1.0,1.0,0.0,0.4,0.6,0.6
Lethe,crash_after_overlay_write,20,1.0,1.0,1.0,0.0,0.4,0.6,0.6
Lethe,crash_after_predicate_update,20,1.0,1.0,1.0,0.0,0.4,0.6,0.6
Lethe,crash_after_reverse_adjacency_update,20,1.0,1.0,1.0,0.0,0.2,0.8,0.8
Lethe,crash_during_overlay_replay,20,1.0,0.8,0.8,1.0,0.2,0.2,0.0
Lethe,crash_during_predicate_replay,20,1.0,0.8,0.8,1.0,0.2,0.2,0.0
Lethe,recovery_missing_audit_record,20,0.0,0.8,0.2,1.0,0.6,0.6,0.2
Lethe,recovery_missing_overlay,20,1.0,0.8,0.8,1.0,0.4,0.4,0.2
Periodic-rebuild,crash_after_audit_log_append,20,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Periodic-rebuild,crash_after_key_destruction,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Periodic-rebuild,crash_after_overlay_write,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Periodic-rebuild,crash_after_predicate_update,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Periodic-rebuild,crash_after_reverse_adjacency_update,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Periodic-rebuild,crash_during_overlay_replay,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Periodic-rebuild,crash_during_predicate_replay,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Periodic-rebuild,recovery_missing_audit_record,20,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Periodic-rebuild,recovery_missing_overlay,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Physical-delete,crash_after_audit_log_append,20,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Physical-delete,crash_after_key_destruction,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Physical-delete,crash_after_overlay_write,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Physical-delete,crash_after_predicate_update,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Physical-delete,crash_after_reverse_adjacency_update,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Physical-delete,crash_during_overlay_replay,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Physical-delete,crash_during_predicate_replay,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Physical-delete,recovery_missing_audit_record,20,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Physical-delete,recovery_missing_overlay,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Tombstone,crash_after_audit_log_append,20,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Tombstone,crash_after_key_destruction,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Tombstone,crash_after_overlay_write,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Tombstone,crash_after_predicate_update,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Tombstone,crash_after_reverse_adjacency_update,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Tombstone,crash_during_overlay_replay,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Tombstone,crash_during_predicate_replay,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Tombstone,recovery_missing_audit_record,20,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Tombstone,recovery_missing_overlay,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
