dataset,N,N_indexed,method,pattern,frac,seed,recall10_vs_exact_linear_scan,drift10_vs_oracle_rebuild,oracle_recall10_vs_exact,exact_reference_sample_queries
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,0,0.983487,0.0,0.980809,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,1,0.979416,0.0,0.980088,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,2,0.978187,0.0,0.98328,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,3,0.982903,0.0,0.980042,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,4,0.979212,0.0,0.984801,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,5,0.982048,0.0,0.980982,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,6,0.98261,0.0,0.981316,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,7,0.980272,0.0,0.980573,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,8,0.982807,0.0,0.984263,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,9,0.980809,0.0,0.981301,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,0,0.973697,0.005606,0.983934,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,1,0.979573,0.003441,0.982642,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,2,0.978617,0.006611,0.983144,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,3,0.976217,0.007482,0.983455,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,4,0.977395,0.007198,0.982853,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,5,0.977271,0.003571,0.982629,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,6,0.975926,0.009164,0.984079,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,7,0.978903,0.008156,0.982857,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,8,0.974471,0.004301,0.980042,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,9,0.976801,0.00363,0.984154,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,0,0.979342,0.002406,0.979939,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,1,0.97821,0.003709,0.982389,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,2,0.977542,0.003321,0.980552,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,3,0.979247,0.001115,0.983623,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,4,0.980438,0.002847,0.982282,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,5,0.977786,0.003627,0.980408,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,6,0.976362,0.002942,0.98142,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,7,0.976728,0.002572,0.982014,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,8,0.980275,0.001889,0.984442,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,9,0.976881,0.001387,0.982286,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,0,0.97804,0.00071,0.978091,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,1,0.980723,0.003199,0.983966,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,2,0.98066,0.004959,0.981726,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,3,0.976831,0.001779,0.981672,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,4,0.977236,0.002395,0.976648,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,5,0.979675,0.004522,0.982538,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,6,0.980157,0.001814,0.982192,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,7,0.976278,0.000875,0.981293,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,8,0.979552,0.003779,0.982834,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,9,0.974942,0.00274,0.980959,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,0,0.935331,0.082354,0.981904,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,1,0.940182,0.087528,0.983317,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,2,0.93863,0.087965,0.982445,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,3,0.947033,0.062075,0.981541,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,4,0.93465,0.105705,0.981611,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,5,0.937861,0.097271,0.981324,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,6,0.937899,0.093181,0.986058,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,7,0.937454,0.074572,0.979475,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,8,0.935558,0.089527,0.982139,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,9,0.933229,0.100411,0.983219,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,0,0.935433,0.069571,0.982327,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,1,0.942541,0.065596,0.982271,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,2,0.941846,0.087684,0.981551,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,3,0.930437,0.089284,0.980469,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,4,0.931478,0.08681,0.979813,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,5,0.945361,0.077217,0.983415,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,6,0.944511,0.074083,0.980232,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,7,0.949949,0.081426,0.980074,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,8,0.935895,0.094163,0.979703,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,9,0.93969,0.092269,0.983532,2000
