dataset,N,N_indexed,exception_rate,users,roles,predicate_implementation,seed,predicate_lookup_latency_ns,query_latency_overhead_pct,memory_ratio_vs_shared,effective_view_class_count,overlay_count,drift10,operational_leakage,revocation_throughput
LegalBench-RAG,1200000,1200000,0.0,1000,10,short_sorted_vector,0,45.807992,0.470868,1.0,10,10,0.007086,0.0,40014.827
LegalBench-RAG,1200000,1200000,0.0,1000,10,short_sorted_vector,1,47.49272,0.316895,1.0,9,10,0.004005,0.0,38795.034
LegalBench-RAG,1200000,1200000,0.0,1000,10,short_sorted_vector,2,48.998734,0.236827,1.0,10,10,0.004396,0.0,40404.614
LegalBench-RAG,1200000,1200000,0.0,1000,10,short_sorted_vector,3,46.961675,0.261842,1.0,9,10,0.00439,0.0,41867.505
LegalBench-RAG,1200000,1200000,0.0,1000,10,short_sorted_vector,4,41.090272,0.599343,1.0,9,10,0.007219,0.0,40994.326
LegalBench-RAG,1200000,1200000,0.0,1000,10,hash_set,0,39.066208,0.607285,1.0,10,10,0.005175,0.0,41003.218
LegalBench-RAG,1200000,1200000,0.0,1000,10,hash_set,1,38.325294,0.171587,1.0,9,10,0.007087,0.0,45228.239
LegalBench-RAG,1200000,1200000,0.0,1000,10,hash_set,2,40.741929,0.845547,1.0,10,10,0.003271,0.0,39993.461
LegalBench-RAG,1200000,1200000,0.0,1000,10,hash_set,3,43.445053,0.48996,1.0,9,10,0.005961,0.0,42305.749
LegalBench-RAG,1200000,1200000,0.0,1000,10,hash_set,4,40.032522,0.446758,1.0,9,10,0.003699,0.0,41632.992
LegalBench-RAG,1200000,1200000,0.0,1000,10,roaring_bitmap,0,37.481006,0.045935,1.0,9,10,0.005899,0.0,39601.304
LegalBench-RAG,1200000,1200000,0.0,1000,10,roaring_bitmap,1,31.455328,0.228815,1.0,9,10,0.006795,0.0,38590.805
LegalBench-RAG,1200000,1200000,0.0,1000,10,roaring_bitmap,2,38.213566,0.048567,1.0,9,10,0.005025,0.0,40529.121
LegalBench-RAG,1200000,1200000,0.0,1000,10,roaring_bitmap,3,37.870083,0.553767,1.0,10,10,0.003107,0.0,39935.898
LegalBench-RAG,1200000,1200000,0.0,1000,10,roaring_bitmap,4,36.402195,0.2382,1.0,9,10,0.009762,0.0,41060.82
LegalBench-RAG,1200000,1200000,0.0,1000,10,role_bitset,0,35.493591,0.278858,1.0,10,10,0.004334,0.0,40234.254
LegalBench-RAG,1200000,1200000,0.0,1000,10,role_bitset,1,28.237197,0.244466,1.0,10,10,0.009249,0.0,40365.655
LegalBench-RAG,1200000,1200000,0.0,1000,10,role_bitset,2,29.650944,0.534406,1.0,9,10,0.008527,0.0,38126.161
LegalBench-RAG,1200000,1200000,0.0,1000,10,role_bitset,3,31.221002,0.095665,1.0,9,10,0.005314,0.0,37336.324
LegalBench-RAG,1200000,1200000,0.0,1000,10,role_bitset,4,27.651386,0.34336,1.0,10,10,0.005384,0.0,41604.634
LegalBench-RAG,1200000,1200000,0.0,1000,10,effective_view_id,0,30.701959,0.400769,1.0,9,10,0.004324,0.0,40394.289
LegalBench-RAG,1200000,1200000,0.0,1000,10,effective_view_id,1,32.057894,0.612597,1.0,9,10,0.004447,0.0,42765.223
LegalBench-RAG,1200000,1200000,0.0,1000,10,effective_view_id,2,21.7235,0.422456,1.0,9,10,0.005869,0.0,37408.664
LegalBench-RAG,1200000,1200000,0.0,1000,10,effective_view_id,3,26.016114,0.38994,1.0,9,10,0.006336,0.0,40622.687
LegalBench-RAG,1200000,1200000,0.0,1000,10,effective_view_id,4,26.356597,0.232213,1.0,10,10,0.010547,0.0,41009.723
LegalBench-RAG,1200000,1200000,0.0,1000,50,short_sorted_vector,0,50.677058,0.219699,1.0,48,50,0.006577,0.0,42879.451
LegalBench-RAG,1200000,1200000,0.0,1000,50,short_sorted_vector,1,47.089341,0.588865,1.0,50,50,0.006906,0.0,38474.856
LegalBench-RAG,1200000,1200000,0.0,1000,50,short_sorted_vector,2,42.002185,0.289506,1.0,51,50,0.002877,0.0,41695.226
LegalBench-RAG,1200000,1200000,0.0,1000,50,short_sorted_vector,3,47.703978,0.596199,1.0,49,50,0.007893,0.0,42272.965
LegalBench-RAG,1200000,1200000,0.0,1000,50,short_sorted_vector,4,44.961022,0.363268,1.0,49,50,0.005806,0.0,38885.62
LegalBench-RAG,1200000,1200000,0.0,1000,50,hash_set,0,38.334436,0.272437,1.0,48,50,0.005028,0.0,41874.106
LegalBench-RAG,1200000,1200000,0.0,1000,50,hash_set,1,43.300314,0.342654,1.0,48,50,0.006036,0.0,39725.541
LegalBench-RAG,1200000,1200000,0.0,1000,50,hash_set,2,43.730362,0.146465,1.0,51,50,0.004312,0.0,38251.172
LegalBench-RAG,1200000,1200000,0.0,1000,50,hash_set,3,41.709264,0.307153,1.0,50,50,0.005799,0.0,40707.458
LegalBench-RAG,1200000,1200000,0.0,1000,50,hash_set,4,38.392908,0.309751,1.0,46,50,0.006252,0.0,42640.435
LegalBench-RAG,1200000,1200000,0.0,1000,50,roaring_bitmap,0,39.712348,0.131721,1.0,47,50,0.006811,0.0,42016.452
LegalBench-RAG,1200000,1200000,0.0,1000,50,roaring_bitmap,1,39.174589,0.212873,1.0,48,50,0.005009,0.0,39800.796
LegalBench-RAG,1200000,1200000,0.0,1000,50,roaring_bitmap,2,32.179816,0.726876,1.0,49,50,0.003778,0.0,41693.405
LegalBench-RAG,1200000,1200000,0.0,1000,50,roaring_bitmap,3,29.672004,0.093431,1.0,48,50,0.007716,0.0,41445.709
LegalBench-RAG,1200000,1200000,0.0,1000,50,roaring_bitmap,4,31.962685,0.436877,1.0,51,50,0.004831,0.0,41738.42
LegalBench-RAG,1200000,1200000,0.0,1000,50,role_bitset,0,26.473674,0.516008,1.0,50,50,0.004772,0.0,41446.353
LegalBench-RAG,1200000,1200000,0.0,1000,50,role_bitset,1,31.265018,0.899635,1.0,51,50,0.003596,0.0,40154.263
LegalBench-RAG,1200000,1200000,0.0,1000,50,role_bitset,2,27.644585,0.490747,1.0,48,50,0.004764,0.0,38916.884
LegalBench-RAG,1200000,1200000,0.0,1000,50,role_bitset,3,31.985649,0.355325,1.0,46,50,0.005435,0.0,43073.653
LegalBench-RAG,1200000,1200000,0.0,1000,50,role_bitset,4,31.983866,0.57583,1.0,50,50,0.007339,0.0,45205.316
LegalBench-RAG,1200000,1200000,0.0,1000,50,effective_view_id,0,23.337009,0.412938,1.0,49,50,0.005394,0.0,40578.679
LegalBench-RAG,1200000,1200000,0.0,1000,50,effective_view_id,1,25.082561,0.286543,1.0,50,50,0.008327,0.0,38843.678
LegalBench-RAG,1200000,1200000,0.0,1000,50,effective_view_id,2,23.178819,0.664999,1.0,49,50,0.007191,0.0,40399.327
LegalBench-RAG,1200000,1200000,0.0,1000,50,effective_view_id,3,27.472805,0.218316,1.0,49,50,0.004773,0.0,39291.968
LegalBench-RAG,1200000,1200000,0.0,1000,50,effective_view_id,4,29.824674,0.202744,1.0,49,50,0.009067,0.0,42160.646
LegalBench-RAG,1200000,1200000,0.0,1000,100,short_sorted_vector,0,53.159868,0.100747,1.0,101,100,0.004946,0.0,42521.507
LegalBench-RAG,1200000,1200000,0.0,1000,100,short_sorted_vector,1,51.568863,0.523347,1.0,97,100,0.006434,0.0,38894.078
LegalBench-RAG,1200000,1200000,0.0,1000,100,short_sorted_vector,2,50.689324,0.283205,1.0,96,100,0.004991,0.0,37623.616
