figure,dataset,N,N_indexed,method,roles,users,shared_fraction,exception_rate,view_scope,operation,seed,graph_build_phase_s,view_materialization_s,validation_and_swap_s,full_per_view_rebuild_s,source_role
fig:dilemma(b),SIFT1M,1000000,1000000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,0,8.427683,2.442166,0.966566,11.836414,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),SIFT1M,1000000,1000000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,1,8.459852,2.396037,0.913105,11.768994,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),SIFT1M,1000000,1000000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,2,8.336305,2.408344,0.916559,11.661208,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),SIFT1M,1000000,1000000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,3,8.488892,2.437312,0.961341,11.887545,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),SIFT1M,1000000,1000000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,4,8.216126,2.495415,0.963065,11.674606,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),SIFT1M,1000000,1000000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,5,8.414762,2.43533,0.955321,11.805413,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),SIFT1M,1000000,1000000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,6,8.463409,2.52741,0.927893,11.918711,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),SIFT1M,1000000,1000000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,7,8.359129,2.456828,0.91751,11.733468,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),SIFT1M,1000000,1000000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,8,8.190052,2.4627,0.99703,11.649782,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),SIFT1M,1000000,1000000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,9,8.64379,2.418458,1.00161,12.063858,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),LegalBench-RAG,1200000,1200000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,0,9.722083,3.053606,1.122592,13.898281,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),LegalBench-RAG,1200000,1200000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,1,10.062639,2.935065,1.1867,14.184405,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),LegalBench-RAG,1200000,1200000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,2,10.111794,2.953029,1.146166,14.210989,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),LegalBench-RAG,1200000,1200000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,3,9.914804,3.000849,1.14681,14.062463,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),LegalBench-RAG,1200000,1200000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,4,10.333884,2.987537,1.114579,14.436,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),LegalBench-RAG,1200000,1200000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,5,10.101876,2.964647,1.134373,14.200896,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),LegalBench-RAG,1200000,1200000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,6,9.876409,3.053358,1.21567,14.145438,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),LegalBench-RAG,1200000,1200000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,7,9.799034,2.972936,1.14085,13.91282,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),LegalBench-RAG,1200000,1200000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,8,10.14515,2.804214,1.133458,14.082823,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),LegalBench-RAG,1200000,1200000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,9,9.932327,2.794758,1.138802,13.865886,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),MIMIC-IV-CaseStudy,1800000,1800000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,0,14.723161,4.561018,1.772485,21.056664,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),MIMIC-IV-CaseStudy,1800000,1800000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,1,14.716884,4.653015,1.796041,21.165941,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),MIMIC-IV-CaseStudy,1800000,1800000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,2,15.009501,4.56341,1.726298,21.29921,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),MIMIC-IV-CaseStudy,1800000,1800000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,3,15.266108,4.637288,1.805733,21.709129,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),MIMIC-IV-CaseStudy,1800000,1800000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,4,15.405963,4.471442,1.725254,21.602659,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),MIMIC-IV-CaseStudy,1800000,1800000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,5,14.833517,4.582282,1.732051,21.14785,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),MIMIC-IV-CaseStudy,1800000,1800000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,6,14.941876,4.511712,1.710818,21.164407,fig_dilemma_b_full_per_view_rebuild
fig:dilemma(b),MIMIC-IV-CaseStudy,1800000,1800000,Per-role-index,100,10000,0.8,0.1,single_authorized_view,full_per_view_rebuild,7,15.02079,4.556517,1.784901,21.362209,fig_dilemma_b_full_per_view_rebuild
