dataset,N,N_indexed,pattern,frac,seed,graph_variant,edge_overlap_with_oracle,authorized_largest_component_fraction,avg_shortest_path_length_authorized,out_degree_mean,in_degree_mean,hub_coverage,greedy_search_success_rate,query_expanded_nodes,query_path_length,unauthorized_overlay_endpoint_count
LegalBench-RAG,1200000,1200000,random,0.1,0,base-before-revocation,0.0,0.998767,3.165002,15.668388,16.547509,0.88,0.979343,13502,5.049714,0
LegalBench-RAG,1200000,1200000,random,0.1,1,base-before-revocation,0.0,0.996378,3.218445,15.453349,15.724475,0.88,0.975575,13761,5.126685,0
LegalBench-RAG,1200000,1200000,random,0.1,2,base-before-revocation,0.0,0.996894,3.163949,15.446246,15.947807,0.88,0.990427,13605,4.963054,0
LegalBench-RAG,1200000,1200000,random,0.1,3,base-before-revocation,0.0,0.994919,3.153926,15.988903,16.029604,0.88,0.989589,13936,4.918725,0
LegalBench-RAG,1200000,1200000,random,0.1,4,base-before-revocation,0.0,0.992815,3.121581,16.396538,15.769879,0.88,0.980754,13633,4.906501,0
LegalBench-RAG,1200000,1200000,random,0.1,0,oracle-rebuild-authorized,1.0,0.998473,3.161091,16.530737,16.051067,0.96,0.982822,14319,5.228267,0
LegalBench-RAG,1200000,1200000,random,0.1,1,oracle-rebuild-authorized,1.0,0.988008,3.252298,16.111,16.000138,0.96,0.985681,14480,5.202845,0
LegalBench-RAG,1200000,1200000,random,0.1,2,oracle-rebuild-authorized,1.0,0.995053,3.301273,16.532398,15.511692,0.96,0.990335,13356,5.136893,0
LegalBench-RAG,1200000,1200000,random,0.1,3,oracle-rebuild-authorized,1.0,0.994652,3.288562,16.487663,16.312027,0.96,0.989375,13678,5.11148,0
LegalBench-RAG,1200000,1200000,random,0.1,4,oracle-rebuild-authorized,1.0,0.990383,3.267933,16.390386,15.271222,0.96,0.969686,14072,5.113305,0
LegalBench-RAG,1200000,1200000,random,0.1,0,lethe-pruned-bypass,0.551335,0.988639,3.371712,16.27136,16.650135,0.96,0.970619,14560,5.592392,0
LegalBench-RAG,1200000,1200000,random,0.1,1,lethe-pruned-bypass,0.488708,0.992736,3.396007,16.169394,16.244595,0.96,0.961216,14459,5.69645,0
LegalBench-RAG,1200000,1200000,random,0.1,2,lethe-pruned-bypass,0.538857,0.987939,3.3571,15.510581,15.802669,0.96,0.964423,14843,5.606778,0
LegalBench-RAG,1200000,1200000,random,0.1,3,lethe-pruned-bypass,0.520446,0.986604,3.296605,15.784482,16.625385,0.96,0.97786,15050,5.485662,0
LegalBench-RAG,1200000,1200000,random,0.1,4,lethe-pruned-bypass,0.522886,0.984194,3.399034,16.255421,16.440475,0.96,0.970627,14482,5.367113,0
LegalBench-RAG,1200000,1200000,random,0.1,0,lethe-full-bypass,0.628322,0.995357,3.258927,15.884894,16.603223,0.96,0.98486,14545,5.464378,0
LegalBench-RAG,1200000,1200000,random,0.1,1,lethe-full-bypass,0.577391,0.994292,3.290494,15.605281,15.944435,0.96,0.983649,14127,5.290001,0
