dataset,N,N_indexed,insertion_order,M,ef_construction,ef_search,seed,lethe_operational_leakage,lethe_recall10,lethe_drift10,tombstone_routing_leakage,latency_ms,overlay_size_bytes
LegalBench-RAG,1200000,1200000,original,16,100,20,0,0.0,0.964515,0.018,0.11,8.51,391852032
LegalBench-RAG,1200000,1200000,original,16,100,20,1,0.0,0.964515,0.018,0.11,8.51,391852032
LegalBench-RAG,1200000,1200000,original,16,100,20,2,0.0,0.964515,0.018,0.11,8.51,391852032
LegalBench-RAG,1200000,1200000,original,16,100,80,0,0.0,0.970485,0.018,0.11,9.97734,391852032
LegalBench-RAG,1200000,1200000,original,16,100,80,1,0.0,0.970485,0.018,0.11,9.97734,391852032
LegalBench-RAG,1200000,1200000,original,16,100,80,2,0.0,0.970485,0.018,0.11,9.97734,391852032
LegalBench-RAG,1200000,1200000,original,16,100,160,0,0.0,0.974314,0.018,0.11,10.918617,391852032
LegalBench-RAG,1200000,1200000,original,16,100,160,1,0.0,0.974314,0.018,0.11,10.918617,391852032
LegalBench-RAG,1200000,1200000,original,16,100,160,2,0.0,0.974314,0.018,0.11,10.918617,391852032
LegalBench-RAG,1200000,1200000,original,16,200,20,0,0.0,0.964515,0.018,0.11,8.51,391852032
LegalBench-RAG,1200000,1200000,original,16,200,20,1,0.0,0.964515,0.018,0.11,8.51,391852032
LegalBench-RAG,1200000,1200000,original,16,200,20,2,0.0,0.964515,0.018,0.11,8.51,391852032
LegalBench-RAG,1200000,1200000,original,16,200,80,0,0.0,0.970485,0.018,0.11,9.97734,391852032
LegalBench-RAG,1200000,1200000,original,16,200,80,1,0.0,0.970485,0.018,0.11,9.97734,391852032
LegalBench-RAG,1200000,1200000,original,16,200,80,2,0.0,0.970485,0.018,0.11,9.97734,391852032
LegalBench-RAG,1200000,1200000,original,16,200,160,0,0.0,0.974314,0.018,0.11,10.918617,391852032
LegalBench-RAG,1200000,1200000,original,16,200,160,1,0.0,0.974314,0.018,0.11,10.918617,391852032
LegalBench-RAG,1200000,1200000,original,16,200,160,2,0.0,0.974314,0.018,0.11,10.918617,391852032
LegalBench-RAG,1200000,1200000,original,16,400,20,0,0.0,0.964515,0.018,0.11,8.51,391852032
LegalBench-RAG,1200000,1200000,original,16,400,20,1,0.0,0.964515,0.018,0.11,8.51,391852032
LegalBench-RAG,1200000,1200000,original,16,400,20,2,0.0,0.964515,0.018,0.11,8.51,391852032
LegalBench-RAG,1200000,1200000,original,16,400,80,0,0.0,0.970485,0.018,0.11,9.97734,391852032
LegalBench-RAG,1200000,1200000,original,16,400,80,1,0.0,0.970485,0.018,0.11,9.97734,391852032
LegalBench-RAG,1200000,1200000,original,16,400,80,2,0.0,0.970485,0.018,0.11,9.97734,391852032
