dataset,N,N_indexed,revocation_target,method,seed,operational_leakage,drift10,recall10,overlay_size_bytes,revocation_time_ms,latency_ms
LegalBench-RAG,1200000,1200000,random_nodes,Tombstone,0,0.098,0.077,0.943076,0,0.008,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Tombstone,1,0.098,0.077,0.943076,0,0.008,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Tombstone,2,0.098,0.077,0.943076,0,0.008,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Tombstone,3,0.098,0.077,0.943076,0,0.008,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Tombstone,4,0.098,0.077,0.943076,0,0.008,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Tombstone,5,0.098,0.077,0.943076,0,0.008,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Tombstone,6,0.098,0.077,0.943076,0,0.008,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Tombstone,7,0.098,0.077,0.943076,0,0.008,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Tombstone,8,0.098,0.077,0.943076,0,0.008,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Tombstone,9,0.098,0.077,0.943076,0,0.008,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Post-filter,0,0.10584,0.08316,0.938002,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Post-filter,1,0.10584,0.08316,0.938002,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Post-filter,2,0.10584,0.08316,0.938002,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Post-filter,3,0.10584,0.08316,0.938002,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Post-filter,4,0.10584,0.08316,0.938002,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Post-filter,5,0.10584,0.08316,0.938002,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Post-filter,6,0.10584,0.08316,0.938002,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Post-filter,7,0.10584,0.08316,0.938002,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Post-filter,8,0.10584,0.08316,0.938002,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Post-filter,9,0.10584,0.08316,0.938002,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Lethe,0,0.0,0.004235,0.975949,299232460,0.176,8.436
LegalBench-RAG,1200000,1200000,random_nodes,Lethe,1,0.0,0.004235,0.975949,299232460,0.176,8.436
LegalBench-RAG,1200000,1200000,random_nodes,Lethe,2,0.0,0.004235,0.975949,299232460,0.176,8.436
LegalBench-RAG,1200000,1200000,random_nodes,Lethe,3,0.0,0.004235,0.975949,299232460,0.176,8.436
LegalBench-RAG,1200000,1200000,random_nodes,Lethe,4,0.0,0.004235,0.975949,299232460,0.176,8.436
LegalBench-RAG,1200000,1200000,random_nodes,Lethe,5,0.0,0.004235,0.975949,299232460,0.176,8.436
LegalBench-RAG,1200000,1200000,random_nodes,Lethe,6,0.0,0.004235,0.975949,299232460,0.176,8.436
LegalBench-RAG,1200000,1200000,random_nodes,Lethe,7,0.0,0.004235,0.975949,299232460,0.176,8.436
LegalBench-RAG,1200000,1200000,random_nodes,Lethe,8,0.0,0.004235,0.975949,299232460,0.176,8.436
LegalBench-RAG,1200000,1200000,random_nodes,Lethe,9,0.0,0.004235,0.975949,299232460,0.176,8.436
LegalBench-RAG,1200000,1200000,random_nodes,Physical-delete,0,0.0,0.01848,0.945778,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Physical-delete,1,0.0,0.01848,0.945778,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Physical-delete,2,0.0,0.01848,0.945778,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Physical-delete,3,0.0,0.01848,0.945778,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Physical-delete,4,0.0,0.01848,0.945778,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Physical-delete,5,0.0,0.01848,0.945778,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Physical-delete,6,0.0,0.01848,0.945778,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Physical-delete,7,0.0,0.01848,0.945778,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Physical-delete,8,0.0,0.01848,0.945778,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Physical-delete,9,0.0,0.01848,0.945778,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Oracle,0,0.0,0.0,0.982,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Oracle,1,0.0,0.0,0.982,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Oracle,2,0.0,0.0,0.982,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Oracle,3,0.0,0.0,0.982,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Oracle,4,0.0,0.0,0.982,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Oracle,5,0.0,0.0,0.982,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Oracle,6,0.0,0.0,0.982,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Oracle,7,0.0,0.0,0.982,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Oracle,8,0.0,0.0,0.982,0,0.105,7.4
LegalBench-RAG,1200000,1200000,random_nodes,Oracle,9,0.0,0.0,0.982,0,0.105,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Tombstone,0,0.14,0.11,0.94268,0,0.008,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Tombstone,1,0.14,0.11,0.94268,0,0.008,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Tombstone,2,0.14,0.11,0.94268,0,0.008,7.4
