dataset,N,N_indexed,method,pattern,target_type,frac,stress_mode,seed,topk,M,ef_construction,ef_search,revoked_target_nodes,affected_query_share,drift10,drift10_pct,recall10_vs_exact_topk,scored_leakage,routing_leakage_auc,source_role
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,0,10,16,200,20,500,0.658821,0.2147322,21.4732,0.920149,0.17355773,0.884033,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,1,10,16,200,20,500,0.682081,0.20882971,20.883,0.916266,0.16018683,0.866617,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,2,10,16,200,20,500,0.689075,0.21611112,21.6111,0.923706,0.17807362,0.854124,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,3,10,16,200,20,500,0.712486,0.21411693,21.4117,0.920323,0.17210821,0.878908,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,4,10,16,200,20,500,0.622787,0.21193628,21.1936,0.916089,0.16411445,0.878143,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,5,10,16,200,20,500,0.722815,0.21860011,21.86,0.918428,0.19096591,0.896471,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,6,10,16,200,20,500,0.673311,0.20333188,20.3332,0.921749,0.17577898,0.860819,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,7,10,16,200,20,500,0.654555,0.22332784,22.3328,0.91929,0.18401529,0.883503,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,8,10,16,200,20,500,0.653399,0.22089035,22.089,0.921895,0.17828018,0.903522,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,9,10,16,200,20,500,0.713383,0.21852359,21.8524,0.915263,0.17861493,0.874799,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,0,10,16,200,20,500,0.692946,0.2407908,24.0791,0.916824,0.17940095,0.898757,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,1,10,16,200,20,500,0.670982,0.21731966,21.732,0.911701,0.17285176,0.869742,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,2,10,16,200,20,500,0.709935,0.21969496,21.9695,0.913448,0.182638,0.88939,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,3,10,16,200,20,500,0.699209,0.23588034,23.588,0.91746,0.18903871,0.897505,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,4,10,16,200,20,500,0.67288,0.23591556,23.5916,0.916902,0.20417221,0.90932,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,5,10,16,200,20,500,0.678783,0.22263778,22.2638,0.917154,0.18675834,0.882134,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,6,10,16,200,20,500,0.677369,0.22621787,22.6218,0.922856,0.18171114,0.890495,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,7,10,16,200,20,500,0.707606,0.22379955,22.38,0.916123,0.19059498,0.880468,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,8,10,16,200,20,500,0.679966,0.2336054,23.3605,0.917929,0.18581361,0.900691,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,9,10,16,200,20,500,0.719037,0.22893809,22.8938,0.919683,0.19982309,0.895595,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,0,10,16,200,20,500,0.675958,0.22274394,22.2744,0.916342,0.17485669,0.884085,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,1,10,16,200,20,500,0.631065,0.2187883,21.8788,0.915171,0.18785608,0.894849,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,2,10,16,200,20,500,0.6832,0.21662245,21.6622,0.9155,0.16913875,0.864694,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,3,10,16,200,20,500,0.695998,0.22438666,22.4387,0.921025,0.2001122,0.894309,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,4,10,16,200,20,500,0.688239,0.22186976,22.187,0.919746,0.19134143,0.886083,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,5,10,16,200,20,500,0.679618,0.2284531,22.8453,0.910332,0.19465781,0.865851,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,6,10,16,200,20,500,0.71673,0.21976865,21.9769,0.918217,0.17196836,0.896536,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,7,10,16,200,20,500,0.666659,0.22282844,22.2828,0.91393,0.19309322,0.885689,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,8,10,16,200,20,500,0.707029,0.22877894,22.8779,0.914897,0.19095215,0.89866,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,9,10,16,200,20,500,0.636105,0.22295976,22.296,0.919312,0.1838749,0.880272,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,0,10,16,200,20,500,0.65424,0.2232605,22.3261,0.923926,0.18572919,0.898058,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,1,10,16,200,20,500,0.633783,0.23678237,23.6782,0.918405,0.19564735,0.920013,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,2,10,16,200,20,500,0.652379,0.2384624,23.8462,0.919408,0.19796169,0.88805,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,3,10,16,200,20,500,0.675098,0.2284104,22.841,0.913556,0.17708669,0.900486,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,4,10,16,200,20,500,0.673658,0.24321066,24.3211,0.911853,0.1875308,0.896401,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,5,10,16,200,20,500,0.656963,0.23834883,23.8349,0.920086,0.1851886,0.921626,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,6,10,16,200,20,500,0.705124,0.23077665,23.0777,0.921242,0.20144312,0.882722,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,7,10,16,200,20,500,0.700016,0.22621722,22.6217,0.919585,0.17700283,0.888978,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,8,10,16,200,20,500,0.701619,0.2297332,22.9733,0.917617,0.19025556,0.904394,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,9,10,16,200,20,500,0.646762,0.22799776,22.7998,0.916753,0.18485243,0.871203,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,0,10,16,200,20,500,0.64091,0.0112519,1.1252,0.977373,0.0,0.50391,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,1,10,16,200,20,500,0.672775,0.01239711,1.2397,0.977777,0.0,0.5053,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,2,10,16,200,20,500,0.685665,0.00805028,0.805,0.980865,0.0,0.501242,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,3,10,16,200,20,500,0.673145,0.00662927,0.6629,0.97976,0.0,0.504868,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,4,10,16,200,20,500,0.648599,0.00928365,0.9284,0.977999,0.0,0.497449,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,5,10,16,200,20,500,0.703392,0.00959363,0.9594,0.974362,0.0,0.499005,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,6,10,16,200,20,500,0.656038,0.00928997,0.929,0.977583,0.0,0.501901,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,7,10,16,200,20,500,0.630917,0.0079322,0.7932,0.975474,0.0,0.506932,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,8,10,16,200,20,500,0.657158,0.0117528,1.1753,0.978409,0.0,0.510874,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,9,10,16,200,20,500,0.651065,0.00981918,0.9819,0.980458,0.0,0.499273,hub_bridge_worstcase_reference_for_comparison
