dataset,N,N_indexed,method,pattern,frac,seed,query_count,encountered_total_events,predicate_checked_total_events,distance_scored_total_events,frontier_inserted_total_events,expanded_total_events,returned_total_events,encountered_revoked_events,predicate_checked_revoked_events,distance_scored_revoked_events,frontier_inserted_revoked_events,expanded_revoked_events,returned_revoked_events,encountered_revoked_id_count,predicate_checked_revoked_id_count,distance_scored_revoked_id_count,frontier_inserted_revoked_id_count,expanded_revoked_id_count,returned_revoked_id_count,result_leakage,scored_leakage,frontier_leakage,expanded_leakage,operational_leakage
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,0,2000,111035,47128,66465,35498,13518,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,1,2000,121238,52530,74069,36301,13733,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,2,2000,111910,48667,69476,34605,14127,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,3,2000,111579,46239,68801,34313,12850,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,4,2000,119147,49177,76947,36989,14159,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,5,2000,107704,45194,63172,28720,11983,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,6,2000,108419,43139,65894,32856,14504,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,7,2000,114153,49157,78590,36966,14684,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,8,2000,116489,46468,71122,32920,13118,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,9,2000,113651,46562,69187,34623,13862,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
