dataset,N,N_indexed,method,pattern,frac,seed,result_leak,drift10,recall10,recall_oracle10
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,0,0.0,0.0,0.94564,0.982319
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,1,0.0,0.0,0.941183,0.981543
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,2,0.0,0.0,0.945098,0.98072
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,3,0.0,0.0,0.945017,0.983858
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,4,0.0,0.0,0.949805,0.984123
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,5,0.0,0.0,0.944362,0.982036
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,6,0.0,0.0,0.941201,0.979626
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,7,0.0,0.0,0.944474,0.984289
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,8,0.0,0.0,0.946209,0.983402
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,9,0.0,0.0,0.942731,0.982095
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,0,0.0,0.0,0.937772,0.983956
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,1,0.0,0.0,0.935385,0.981614
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,2,0.0,0.0,0.941406,0.983301
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,3,0.0,0.0,0.933435,0.977029
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,4,0.0,0.0,0.940012,0.983628
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,5,0.0,0.0,0.936572,0.979728
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,6,0.0,0.0,0.937925,0.979415
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,7,0.0,0.0,0.936331,0.980384
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,8,0.0,0.0,0.935468,0.980782
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,9,0.0,0.0,0.938996,0.98283
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,0,0.0,0.0,0.979707,0.981931
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,1,0.0,0.0,0.978646,0.982827
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,2,0.0,0.0,0.978888,0.98406
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,3,0.0,0.0,0.980177,0.983538
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,4,0.0,0.0,0.975461,0.982138
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,5,0.0,0.0,0.98035,0.982418
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,6,0.0,0.0,0.98093,0.984373
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,7,0.0,0.0,0.976733,0.982968
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,8,0.0,0.0,0.979477,0.982756
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,9,0.0,0.0,0.978005,0.981748
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,0,0.0,0.0,0.929476,0.983727
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,1,0.0,0.0,0.924406,0.97583
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,2,0.0,0.0,0.926454,0.980489
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,3,0.0,0.0,0.926226,0.981479
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,4,0.0,0.0,0.927188,0.982254
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,5,0.0,0.0,0.925093,0.984535
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,6,0.0,0.0,0.926912,0.979454
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,7,0.0,0.0,0.925906,0.980619
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,8,0.0,0.0,0.927539,0.982197
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,9,0.0,0.0,0.926404,0.98283
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,0,0.0,0.0,0.955243,0.981241
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,1,0.0,0.0,0.960675,0.982778
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,2,0.0,0.0,0.955163,0.98209
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,3,0.0,0.0,0.958667,0.981724
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,4,0.0,0.0,0.955275,0.982715
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,5,0.0,0.0,0.953647,0.979031
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,6,0.0,0.0,0.96105,0.984308
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,7,0.0,0.0,0.959924,0.983553
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,8,0.0,0.0,0.956776,0.980673
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,9,0.0,0.0,0.960971,0.983208
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,0,0.0,0.0,0.9433,0.982083
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,1,0.0,0.0,0.943567,0.982375
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,2,0.0,0.0,0.944281,0.981175
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,3,0.0,0.0,0.945118,0.98034
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,4,0.0,0.0,0.947501,0.9842
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,5,0.0,0.0,0.948229,0.982871
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,6,0.0,0.0,0.943892,0.980163
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,7,0.0,0.0,0.941729,0.981344
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,8,0.0,0.0,0.947372,0.982951
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,9,0.0,0.0,0.94544,0.982495
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,0,0.0,0.0,0.969607,0.985203
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,1,0.0,0.0,0.968549,0.983957
