dataset,N,N_indexed,roles,users,shared_fraction,exception_rate,base_graph_bytes,vector_store_bytes,predicate_table_bytes,exception_bitmap_bytes,reverse_adjacency_bytes,bypass_overlay_bytes,key_metadata_bytes,audit_log_metadata_bytes,alignment_padding_bytes,total_lethe_bytes,per_role_index_bytes,per_user_index_bytes,memory_ratio_vs_shared,memory_ratio_vs_per_role,memory_ratio_vs_per_user
LegalBench-RAG,1200000,1200000,50,10000,0.2,0.01,7124582400,4987207680,57215367,16386539,1310923161,122257833,21373747,7409565,17378678,8677527290,270734131200,62696325120000,1.0,0.03205184,0.0001384057
LegalBench-RAG,1200000,1200000,50,10000,0.2,0.1,7124582400,4987207680,61062642,35622912,1310923161,132517232,21373747,9974415,20046122,8716102631,270734131200,62696325120000,1.0,0.03219433,0.0001390209
LegalBench-RAG,1200000,1200000,50,10000,0.2,0.5,7124582400,4987207680,78161640,121117900,1310923161,178114560,21373747,21373747,31901427,8887548582,270734131200,62696325120000,1.0,0.03282759,0.0001417555
LegalBench-RAG,1200000,1200000,50,10000,0.5,0.01,7124582400,4987207680,57215367,16386539,1353670656,198775848,21373747,7409565,23500120,8802914242,292107878400,62696325120000,1.0,0.03013583,0.0001404056
LegalBench-RAG,1200000,1200000,50,10000,0.5,0.1,7124582400,4987207680,61062642,35622912,1353670656,224424345,21373747,9974415,27398691,8858109808,292107878400,62696325120000,1.0,0.03032479,0.0001412859
LegalBench-RAG,1200000,1200000,50,10000,0.5,0.5,7124582400,4987207680,78161640,121117900,1353670656,338417664,21373747,21373747,44725676,9103423430,292107878400,62696325120000,1.0,0.03116459,0.0001451987
LegalBench-RAG,1200000,1200000,50,10000,0.8,0.01,7124582400,4987207680,57215367,16386539,1396418150,275293863,21373747,7409565,29621561,8928301192,313481625600,62696325120000,1.0,0.0284811,0.0001424055
LegalBench-RAG,1200000,1200000,50,10000,0.8,0.1,7124582400,4987207680,61062642,35622912,1396418150,316331458,21373747,9974415,34751260,9000116984,313481625600,62696325120000,1.0,0.02871019,0.0001435509
LegalBench-RAG,1200000,1200000,50,10000,0.8,0.5,7124582400,4987207680,78161640,121117900,1396418150,498720768,21373747,21373747,57549924,9319298276,313481625600,62696325120000,1.0,0.02972837,0.0001486419
LegalBench-RAG,1200000,1200000,50,10000,0.95,0.01,7124582400,4987207680,57215367,16386539,1417791897,313552871,21373747,7409565,32682281,8990994667,324168499200,62696325120000,1.0,0.02773556,0.0001434054
LegalBench-RAG,1200000,1200000,50,10000,0.95,0.1,7124582400,4987207680,61062642,35622912,1417791897,362285015,21373747,9974415,38427545,9071120573,324168499200,62696325120000,1.0,0.02798273,0.0001446834
LegalBench-RAG,1200000,1200000,50,10000,0.95,0.5,7124582400,4987207680,78161640,121117900,1417791897,578872320,21373747,21373747,63962048,9427235699,324168499200,62696325120000,1.0,0.02908128,0.0001503634
LegalBench-RAG,1200000,1200000,50,100000,0.2,0.01,7124582400,4987207680,57215367,16386539,1310923161,122257833,21373747,7409565,17378678,8677527290,270734131200,626963251200000,1.0,0.03205184,1.38406e-05
LegalBench-RAG,1200000,1200000,50,100000,0.2,0.1,7124582400,4987207680,61062642,35622912,1310923161,132517232,21373747,9974415,20046122,8716102631,270734131200,626963251200000,1.0,0.03219433,1.39021e-05
LegalBench-RAG,1200000,1200000,50,100000,0.2,0.5,7124582400,4987207680,78161640,121117900,1310923161,178114560,21373747,21373747,31901427,8887548582,270734131200,626963251200000,1.0,0.03282759,1.41755e-05
LegalBench-RAG,1200000,1200000,50,100000,0.5,0.01,7124582400,4987207680,57215367,16386539,1353670656,198775848,21373747,7409565,23500120,8802914242,292107878400,626963251200000,1.0,0.03013583,1.40406e-05
LegalBench-RAG,1200000,1200000,50,100000,0.5,0.1,7124582400,4987207680,61062642,35622912,1353670656,224424345,21373747,9974415,27398691,8858109808,292107878400,626963251200000,1.0,0.03032479,1.41286e-05
LegalBench-RAG,1200000,1200000,50,100000,0.5,0.5,7124582400,4987207680,78161640,121117900,1353670656,338417664,21373747,21373747,44725676,9103423430,292107878400,626963251200000,1.0,0.03116459,1.45199e-05
LegalBench-RAG,1200000,1200000,50,100000,0.8,0.01,7124582400,4987207680,57215367,16386539,1396418150,275293863,21373747,7409565,29621561,8928301192,313481625600,626963251200000,1.0,0.0284811,1.42405e-05
LegalBench-RAG,1200000,1200000,50,100000,0.8,0.1,7124582400,4987207680,61062642,35622912,1396418150,316331458,21373747,9974415,34751260,9000116984,313481625600,626963251200000,1.0,0.02871019,1.43551e-05
LegalBench-RAG,1200000,1200000,50,100000,0.8,0.5,7124582400,4987207680,78161640,121117900,1396418150,498720768,21373747,21373747,57549924,9319298276,313481625600,626963251200000,1.0,0.02972837,1.48642e-05
LegalBench-RAG,1200000,1200000,50,100000,0.95,0.01,7124582400,4987207680,57215367,16386539,1417791897,313552871,21373747,7409565,32682281,8990994667,324168499200,626963251200000,1.0,0.02773556,1.43405e-05
LegalBench-RAG,1200000,1200000,50,100000,0.95,0.1,7124582400,4987207680,61062642,35622912,1417791897,362285015,21373747,9974415,38427545,9071120573,324168499200,626963251200000,1.0,0.02798273,1.44683e-05
LegalBench-RAG,1200000,1200000,50,100000,0.95,0.5,7124582400,4987207680,78161640,121117900,1417791897,578872320,21373747,21373747,63962048,9427235699,324168499200,626963251200000,1.0,0.02908128,1.50363e-05
LegalBench-RAG,1200000,1200000,100,10000,0.2,0.01,7124582400,4987207680,62131687,16386539,1310923161,122257833,21373747,7409565,17771984,8682836916,541468262400,62696325120000,1.0,0.01603573,0.0001384904
