dataset,N,N_indexed,roles,users,shared_fraction,exception_rate,base_graph_bytes,vector_store_bytes,predicate_table_bytes,exception_bitmap_bytes,reverse_adjacency_bytes,bypass_overlay_bytes,key_metadata_bytes,audit_log_metadata_bytes,alignment_padding_bytes,total_lethe_bytes,per_role_index_bytes,per_user_index_bytes,memory_ratio_vs_shared,memory_ratio_vs_per_role,memory_ratio_vs_per_user
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.0,7124582400,4987207680,45751233,14249164,1310923161,121117900,21373747,7124582,16199363,8661321550,54146826240,6269632512000,1.0,0.15995991,0.001381472
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.01,7124582400,4987207680,46178708,16386539,1310923161,122257833,21373747,7409565,16495746,8665607699,54146826240,6269632512000,1.0,0.16003907,0.0013821556
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,7124582400,4987207680,47888608,24936038,1310923161,126817566,21373747,8549498,17681276,8682752294,54146826240,6269632512000,1.0,0.1603557,0.0013848901
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.1,7124582400,4987207680,50025982,35622912,1310923161,132517232,21373747,9974415,19163189,8704183038,54146826240,6269632512000,1.0,0.16075149,0.0013883083
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,7124582400,4987207680,54300732,56996659,1310923161,143916564,21373747,12824248,22127016,8747044527,54146826240,6269632512000,1.0,0.16154307,0.0013951447
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,7124582400,4987207680,67124980,121117900,1310923161,178114560,21373747,21373747,31018494,8875628989,54146826240,6269632512000,1.0,0.16391781,0.0014156538
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.0,7124582400,4987207680,45751233,14249164,1353670656,195926016,21373747,7124582,22184012,8784861810,58421575680,6269632512000,1.0,0.15037016,0.0014011765
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.01,7124582400,4987207680,46178708,16386539,1353670656,198775848,21373747,7409565,22617187,8790994650,58421575680,6269632512000,1.0,0.15047514,0.0014021547
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,7124582400,4987207680,47888608,24936038,1353670656,210175180,21373747,8549498,24349885,8815526012,58421575680,6269632512000,1.0,0.15089504,0.0014060674
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.1,7124582400,4987207680,50025982,35622912,1353670656,224424345,21373747,9974415,26515758,8846190215,58421575680,6269632512000,1.0,0.15141992,0.0014109583
