file,rows,columns,sha256_16,role
ab_rag_acorn_honeybee_rows.csv,2,8,1591237175fcf414,new_supplemental_or_real_stats
completion_source_map.csv,4,5,01b670aff350b8ca,new_supplemental_or_real_stats
csv_inventory.csv,49,5,edc75b8f33ca83c7,new_supplemental_or_real_stats
fig_recall_b_source_mapping.csv,2,8,33633f944a146e1b,new_supplemental_or_real_stats
rag_quality_acorn_honeybee_summary.csv,2,10,8cf84e2ba064367e,new_supplemental_or_real_stats
rag_quality_acorn_honeybee_supplement.csv,80,20,b4f944a9aff5227b,new_supplemental_or_real_stats
stats_summary.csv,48,23,3b296979ba4943f3,new_supplemental_or_real_stats
stats_summary_attribution_patch.csv,1,5,b6af7ceb7f7120e6,new_supplemental_or_real_stats
stats_summary_fixed.csv,48,19,1fad9acfb6860c86,new_supplemental_or_real_stats
stats_summary_real.csv,48,23,3b296979ba4943f3,new_supplemental_or_real_stats
validation_checks.csv,6,3,558426bf311edcb7,new_supplemental_or_real_stats
view_isolation.csv,200,31,ba48a1d9ae028db8,new_supplemental_or_real_stats
view_isolation_cross_validation.csv,40,6,9b420a919f7d5f52,new_supplemental_or_real_stats
view_isolation_summary.csv,5,19,1947a7d0450c39c2,new_supplemental_or_real_stats
