dataset,N,N_indexed,index_type,authorized_set_id,comparison,seed_i,seed_j,drift10,recall_exact_i,recall_exact_j
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_same_seed_rerun,0,0,0.0,0.980493,0.984235
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_same_seed_rerun,1,1,0.0,0.981928,0.982218
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_same_seed_rerun,2,2,0.0,0.98216,0.980475
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_same_seed_rerun,3,3,0.0,0.978494,0.980383
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_same_seed_rerun,4,4,0.0,0.97943,0.982694
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_same_seed_rerun,5,5,0.0,0.98508,0.984895
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_same_seed_rerun,6,6,0.0,0.982505,0.982453
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_same_seed_rerun,7,7,0.0,0.982331,0.981515
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_same_seed_rerun,8,8,0.0,0.984011,0.984308
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_same_seed_rerun,9,9,0.0,0.983926,0.981209
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,0,1,0.005125,0.980607,0.978993
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,0,2,0.002915,0.981154,0.977894
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,0,3,0.002701,0.978729,0.981814
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,0,4,0.002601,0.985534,0.984314
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,0,5,0.007504,0.981525,0.981207
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,0,6,0.006537,0.98678,0.982859
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,0,7,0.004648,0.982348,0.98207
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,0,8,0.004798,0.982506,0.981943
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,0,9,0.003596,0.980669,0.982068
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,1,2,0.006841,0.98092,0.983152
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,1,3,0.003519,0.979983,0.98168
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,1,4,0.002457,0.981676,0.980346
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,1,5,0.006779,0.985404,0.983213
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,1,6,0.001063,0.980918,0.983165
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,1,7,0.004699,0.980008,0.982823
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,1,8,0.006722,0.979737,0.979991
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,1,9,0.005173,0.98011,0.984126
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,2,3,0.005309,0.977844,0.980888
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,2,4,0.002174,0.980748,0.981897
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,2,5,0.000883,0.981976,0.980336
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,2,6,0.002722,0.980953,0.98282
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,2,7,0.005004,0.981637,0.980155
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,2,8,0.003233,0.981964,0.984235
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,2,9,0.005337,0.984907,0.982131
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,3,4,0.005306,0.982924,0.985007
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,3,5,0.002554,0.983894,0.982869
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,3,6,0.0005,0.984771,0.983025
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,3,7,0.002907,0.981906,0.983567
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,3,8,0.005965,0.978663,0.981497
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,3,9,0.005862,0.980816,0.984663
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,4,5,0.004737,0.982368,0.985136
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,4,6,0.005294,0.985212,0.983458
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,4,7,0.003787,0.982984,0.981408
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,4,8,0.007379,0.983023,0.982989
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,4,9,0.008644,0.985642,0.980236
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,5,6,0.006385,0.987231,0.983053
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,5,7,0.003768,0.982414,0.979518
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,5,8,0.002385,0.982728,0.98341
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,5,9,0.00769,0.981715,0.979125
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,6,7,0.00367,0.983369,0.982482
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,6,8,0.004012,0.980859,0.984092
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,6,9,0.005361,0.980256,0.979977
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,7,8,0.004853,0.98136,0.981117
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,7,9,0.002638,0.981408,0.982814
LegalBench-RAG,1200000,1200000,HNSW,0,oracle_different_seed,8,9,0.007423,0.981522,0.982732
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_same_seed_rerun,0,0,0.0,0.981798,0.983424
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_same_seed_rerun,1,1,0.0,0.983295,0.982226
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_same_seed_rerun,2,2,0.0,0.984301,0.979067
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_same_seed_rerun,3,3,0.0,0.98232,0.984143
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_same_seed_rerun,4,4,0.0,0.982992,0.98269
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_same_seed_rerun,5,5,0.0,0.983327,0.981939
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_same_seed_rerun,6,6,0.0,0.980794,0.980925
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_same_seed_rerun,7,7,0.0,0.980215,0.980105
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_same_seed_rerun,8,8,0.0,0.982433,0.981108
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_same_seed_rerun,9,9,0.0,0.981541,0.981582
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,0,1,0.002201,0.980003,0.981234
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,0,2,0.004019,0.981153,0.984093
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,0,3,0.008243,0.978813,0.981295
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,0,4,0.004138,0.980832,0.982178
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,0,5,0.003839,0.983817,0.983069
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,0,6,0.002294,0.981369,0.983475
