dataset,N,N_indexed,method,bytes_in_snapshot,byte_exact_recover,snapshot_bytes
LegalBench-RAG,1200000,1200000,Tombstone,True,True,7338319872
LegalBench-RAG,1200000,1200000,Post-filter,True,True,7338319872
LegalBench-RAG,1200000,1200000,Lethe,False,False,6982090752
LegalBench-RAG,1200000,1200000,Physical-delete,False,False,6982090752
LegalBench-RAG,1200000,1200000,Periodic-rebuild,True,True,7338319872
LegalBench-RAG,1200000,1200000,Per-role-index,False,False,6982090752
LegalBench-RAG,1200000,1200000,ACORN,True,True,7338319872
LegalBench-RAG,1200000,1200000,HoneyBee,True,True,7338319872
LegalBench-RAG,1200000,1200000,SPFresh,True,True,7338319872
LegalBench-RAG,1200000,1200000,Oracle,False,False,6982090752
MS-MARCO-RBAC,8000000,8000000,Tombstone,True,True,46589091840
MS-MARCO-RBAC,8000000,8000000,Post-filter,True,True,46589091840
MS-MARCO-RBAC,8000000,8000000,Lethe,False,False,44327485440
MS-MARCO-RBAC,8000000,8000000,Physical-delete,False,False,44327485440
MS-MARCO-RBAC,8000000,8000000,Periodic-rebuild,True,True,46589091840
MS-MARCO-RBAC,8000000,8000000,Per-role-index,False,False,44327485440
MS-MARCO-RBAC,8000000,8000000,ACORN,True,True,46589091840
MS-MARCO-RBAC,8000000,8000000,HoneyBee,True,True,46589091840
MS-MARCO-RBAC,8000000,8000000,SPFresh,True,True,46589091840
MS-MARCO-RBAC,8000000,8000000,Oracle,False,False,44327485440
SIFT1M,1000000,1000000,Tombstone,True,True,817408000
SIFT1M,1000000,1000000,Post-filter,True,True,817408000
SIFT1M,1000000,1000000,Lethe,False,False,777728000
SIFT1M,1000000,1000000,Physical-delete,False,False,777728000
SIFT1M,1000000,1000000,Periodic-rebuild,True,True,817408000
SIFT1M,1000000,1000000,Per-role-index,False,False,777728000
SIFT1M,1000000,1000000,ACORN,True,True,817408000
SIFT1M,1000000,1000000,HoneyBee,True,True,817408000
SIFT1M,1000000,1000000,SPFresh,True,True,817408000
SIFT1M,1000000,1000000,Oracle,False,False,777728000
MIMIC-IV-CaseStudy,1800000,1800000,Tombstone,True,True,11013649920
MIMIC-IV-CaseStudy,1800000,1800000,Post-filter,True,True,11013649920
MIMIC-IV-CaseStudy,1800000,1800000,Lethe,False,False,10479006720
MIMIC-IV-CaseStudy,1800000,1800000,Physical-delete,False,False,10479006720
MIMIC-IV-CaseStudy,1800000,1800000,Periodic-rebuild,True,True,11013649920
MIMIC-IV-CaseStudy,1800000,1800000,Per-role-index,False,False,10479006720
MIMIC-IV-CaseStudy,1800000,1800000,ACORN,True,True,11013649920
MIMIC-IV-CaseStudy,1800000,1800000,HoneyBee,True,True,11013649920
MIMIC-IV-CaseStudy,1800000,1800000,SPFresh,True,True,11013649920
MIMIC-IV-CaseStudy,1800000,1800000,Oracle,False,False,10479006720
