dataset,N,N_indexed,implementation,target_type,seed,in_degree,revocation_time_ms,reverse_adjacency_memory_bytes,overlay_construction_time_ms,affected_in_neighbors,overlay_edges,requires_scan_all_adjacency,security_predicate_update_blocked_by_overlay
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,average,0,22,0.221122,1,0.242225,22,70,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,average,1,20,0.230851,1,0.258278,20,64,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,average,2,22,0.205432,1,0.265754,22,70,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,average,3,22,0.197884,1,0.240323,22,70,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,average,4,23,0.213885,1,0.289573,23,73,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,p95,0,85,0.645405,1,0.885854,85,272,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,p95,1,91,0.562373,1,0.90622,91,291,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,p95,2,93,0.695523,1,0.932226,93,297,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,p95,3,84,0.59829,1,0.866269,84,268,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,p95,4,88,0.597233,1,0.910272,88,281,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,p99,0,192,1.324621,1,1.884538,192,614,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,p99,1,181,1.139939,1,1.771833,181,579,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,p99,2,179,1.275096,1,1.771532,179,572,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,p99,3,183,1.25125,1,1.82264,183,585,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,p99,4,200,1.320688,1,1.954449,200,640,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,hub_max,0,1189,8.179961,1,11.438778,1189,3804,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,hub_max,1,1130,7.106642,1,10.888923,1130,3616,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,hub_max,2,1288,8.016929,1,12.422798,1288,4121,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,hub_max,3,1312,7.82224,1,12.668773,1312,4198,False,False
LegalBench-RAG,1200000,1200000,stored_reverse_adjacency,hub_max,4,1245,7.46153,1,12.013059,1245,3984,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,average,0,22,0.455011,1,0.23049,22,70,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,average,1,21,0.480341,1,0.233945,21,67,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,average,2,21,0.408586,1,0.28826,21,67,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,average,3,23,0.421526,1,0.30617,23,73,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,average,4,24,0.468849,1,0.261042,24,76,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,p95,0,84,1.206044,1,0.81312,84,268,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,p95,1,89,1.166975,1,0.907776,89,284,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,p95,2,89,1.199511,1,0.915866,89,284,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,p95,3,88,1.110139,1,0.855932,88,281,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,p95,4,87,1.201642,1,0.905503,87,278,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,p99,0,165,2.040083,1,1.64689,165,528,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,p99,1,195,2.182954,1,1.925552,195,624,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,p99,2,179,2.223536,1,1.75234,179,572,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,p99,3,185,2.333548,1,1.835834,185,592,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,p99,4,195,2.374388,1,1.944857,195,624,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,hub_max,0,1203,14.596384,1,11.583301,1203,3849,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,hub_max,1,1343,14.062451,1,12.944505,1343,4297,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,hub_max,2,1232,14.380892,1,11.858228,1232,3942,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,hub_max,3,1302,14.693693,1,12.532333,1302,4166,False,False
LegalBench-RAG,1200000,1200000,lazy_inverted_edge_index,hub_max,4,1198,13.193045,1,11.546268,1198,3833,False,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,average,0,23,19.797511,1,0.272834,23,73,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,average,1,22,19.780706,1,0.27415,22,70,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,average,2,23,21.252806,1,0.279024,23,73,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,average,3,22,20.869943,1,0.287171,22,70,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,average,4,21,20.751274,1,0.266071,21,67,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,p95,0,89,21.016861,1,0.92288,89,284,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,p95,1,89,20.882587,1,0.926731,89,284,True,False
