dataset,N,N_indexed,method,pattern,frac,seed,visited_total,visited_revoked,expanded_total,expanded_revoked,distance_eval_total,distance_eval_revoked,frontier_insert_total,frontier_insert_revoked,routing_trace_leakage,revoked_distance_eval_rate,revoked_expansion_rate,revoked_frontier_insert_rate
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,0,111035,0,13518,0,66465,0,35498,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,1,121238,0,13733,0,74069,0,36301,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,2,111910,0,14127,0,69476,0,34605,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,3,111579,0,12850,0,68801,0,34313,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,4,119147,0,14159,0,76947,0,36989,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,5,107704,0,11983,0,63172,0,28720,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,6,108419,0,14504,0,65894,0,32856,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,7,114153,0,14684,0,78590,0,36966,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,8,116489,0,13118,0,71122,0,32920,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.0,9,113651,0,13862,0,69187,0,34623,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,0,115442,0,13998,0,72971,0,36235,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,1,120511,0,13044,0,68503,0,33211,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,2,111221,0,13577,0,70421,0,34201,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,3,112620,0,14042,0,72074,0,34621,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,4,126285,0,14103,0,75222,0,36970,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,5,114970,0,11858,0,70060,0,31449,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,6,118644,0,12886,0,73511,0,32120,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,7,112554,0,11736,0,67494,0,30603,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,8,113789,0,13962,0,74555,0,32387,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Post-filter,random,0.0,9,124243,0,13794,0,74784,0,35164,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,0,116083,0,14494,0,72714,0,35951,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,1,106765,0,11891,0,60212,0,28486,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,2,117696,0,14064,0,76872,0,38405,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,3,122425,0,14047,0,73955,0,35403,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,4,109603,0,12700,0,66899,0,31227,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,5,117975,0,13813,0,73640,0,34335,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,6,115962,0,14986,0,75204,0,36249,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,7,111790,0,12106,0,72311,0,34442,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,8,112738,0,14033,0,74878,0,36526,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.0,9,121689,0,14591,0,75156,0,37466,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,0,114148,0,12584,0,71193,0,34492,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,1,114728,0,16054,0,71707,0,35616,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,2,109847,0,12699,0,70750,0,31340,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,3,114079,0,14500,0,72941,0,35730,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,4,112580,0,12576,0,71904,0,34907,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,5,119425,0,13128,0,75870,0,33870,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,6,106494,0,13276,0,63570,0,31628,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,7,106764,0,12103,0,65970,0,31224,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,8,110862,0,13751,0,68949,0,33203,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,9,114706,0,14424,0,72040,0,34646,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,0,122031,0,15153,0,77318,0,36359,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,1,122429,0,14108,0,73130,0,37097,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,2,123955,0,14655,0,73056,0,34896,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,3,123426,0,13633,0,77745,0,36200,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,4,112750,0,14212,0,70377,0,33593,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,5,117173,0,13004,0,66771,0,32576,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,6,114025,0,11961,0,66887,0,31727,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,7,117028,0,14792,0,70069,0,34804,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,8,113619,0,14559,0,71783,0,35511,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,9,113976,0,13629,0,70775,0,34313,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,0,113306,0,15305,0,78369,0,39766,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,1,117932,0,12987,0,71046,0,35061,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,2,124420,0,15295,0,81770,0,41048,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,3,115617,0,14156,0,72939,0,33682,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,4,124202,0,13313,0,74567,0,34924,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,5,117572,0,12031,0,70051,0,33912,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,6,114218,0,15258,0,71385,0,36596,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,7,115467,0,15250,0,76264,0,38919,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,8,124367,0,15096,0,77473,0,37323,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,9,112395,0,13210,0,66738,0,31272,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,0,115105,0,12600,0,67298,0,33186,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,1,116806,0,13420,0,68597,0,33493,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,2,116384,0,14176,0,71630,0,35442,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,3,114165,0,11848,0,70094,0,30519,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,4,108856,0,12761,0,68330,0,31158,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,5,121309,0,14022,0,73465,0,35325,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,6,112647,0,15281,0,72371,0,36220,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,7,111625,0,13112,0,69978,0,32176,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,8,123104,0,11905,0,67376,0,30025,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,9,113999,0,12712,0,65777,0,32945,0,0.0,0.0,0.0,0.0
