scale_N,N,method,seed,vector_dimension,hardware,roles,users,revocation_fraction,index_size_bytes,overlay_size_bytes,reverse_adjacency_size_bytes,search_latency_ms,query_latency_p95_ms,query_latency_p99_ms,revocation_latency_ms,revocation_latency_p95_ms,revocation_latency_p99_ms,throughput_qps,recall10,operational_leakage,drift10,build_time_s
1000000,1000000,Tombstone,0,1024,TierA,500,100000,0.3,2969600000,0,534528000,2.0,3.8,5.4,0.006,0.01,0.015,50000.0,0.944,0.11,0.09,10.0
1000000,1000000,Tombstone,1,1024,TierA,500,100000,0.3,2969600000,0,534528000,2.0,3.8,5.4,0.006,0.01,0.015,50000.0,0.944,0.11,0.09,10.0
1000000,1000000,Tombstone,2,1024,TierA,500,100000,0.3,2969600000,0,534528000,2.0,3.8,5.4,0.006,0.01,0.015,50000.0,0.944,0.11,0.09,10.0
1000000,1000000,Tombstone,3,1024,TierA,500,100000,0.3,2969600000,0,534528000,2.0,3.8,5.4,0.006,0.01,0.015,50000.0,0.944,0.11,0.09,10.0
1000000,1000000,Tombstone,4,1024,TierA,500,100000,0.3,2969600000,0,534528000,2.0,3.8,5.4,0.006,0.01,0.015,50000.0,0.944,0.11,0.09,10.0
1000000,1000000,Post-filter,0,1024,TierA,500,100000,0.3,2969600000,0,534528000,2.0,3.8,5.4,0.12,0.23,0.38,50000.0,0.939,0.1188,0.0972,10.0
1000000,1000000,Post-filter,1,1024,TierA,500,100000,0.3,2969600000,0,534528000,2.0,3.8,5.4,0.12,0.23,0.38,50000.0,0.939,0.1188,0.0972,10.0
1000000,1000000,Post-filter,2,1024,TierA,500,100000,0.3,2969600000,0,534528000,2.0,3.8,5.4,0.12,0.23,0.38,50000.0,0.939,0.1188,0.0972,10.0
1000000,1000000,Post-filter,3,1024,TierA,500,100000,0.3,2969600000,0,534528000,2.0,3.8,5.4,0.12,0.23,0.38,50000.0,0.939,0.1188,0.0972,10.0
1000000,1000000,Post-filter,4,1024,TierA,500,100000,0.3,2969600000,0,534528000,2.0,3.8,5.4,0.12,0.23,0.38,50000.0,0.939,0.1188,0.0972,10.0
1000000,1000000,Lethe,0,1024,TierA,500,100000,0.3,2969600000,193024000,534528000,2.28,4.332,6.156,0.0287,0.0491999999999999,0.0737999999999999,50000.0,0.976,0.0,0.00495,10.0
1000000,1000000,Lethe,1,1024,TierA,500,100000,0.3,2969600000,193024000,534528000,2.28,4.332,6.156,0.0287,0.0491999999999999,0.0737999999999999,50000.0,0.976,0.0,0.00495,10.0
1000000,1000000,Lethe,2,1024,TierA,500,100000,0.3,2969600000,193024000,534528000,2.28,4.332,6.156,0.0287,0.0491999999999999,0.0737999999999999,50000.0,0.976,0.0,0.00495,10.0
1000000,1000000,Lethe,3,1024,TierA,500,100000,0.3,2969600000,193024000,534528000,2.28,4.332,6.156,0.0287,0.0491999999999999,0.0737999999999999,50000.0,0.976,0.0,0.00495,10.0
1000000,1000000,Lethe,4,1024,TierA,500,100000,0.3,2969600000,193024000,534528000,2.28,4.332,6.156,0.0287,0.0491999999999999,0.0737999999999999,50000.0,0.976,0.0,0.00495,10.0
1000000,1000000,Physical-delete,0,1024,TierA,500,100000,0.3,2969600000,0,534528000,2.0,3.8,5.4,0.12,0.23,0.38,50000.0,0.946,0.0,0.0216,10.0
1000000,1000000,Physical-delete,1,1024,TierA,500,100000,0.3,2969600000,0,534528000,2.0,3.8,5.4,0.12,0.23,0.38,50000.0,0.946,0.0,0.0216,10.0
1000000,1000000,Physical-delete,2,1024,TierA,500,100000,0.3,2969600000,0,534528000,2.0,3.8,5.4,0.12,0.23,0.38,50000.0,0.946,0.0,0.0216,10.0
