table,dataset,N,N_indexed,frac,metric,baseline,lethe_mean,baseline_mean,ci_low,ci_high,p_raw,p_holm,effect_size,table_original,analysis_scope,metric_family,appendix_destination,attribution_policy
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,0.3,scored_leakage,Tombstone,0.0,0.089031,-0.097821,-0.082204,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.00482,0.083611,-0.089147,-0.072715,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,0.3,recall10_vs_exact_topk,Tombstone,0.974714,0.940292,0.029199,0.039294,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,0.3,scored_leakage,Tombstone,0.0,0.163029,-0.170756,-0.156878,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.00938,0.151442,-0.152245,-0.134718,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,0.3,recall10_vs_exact_topk,Tombstone,0.974556,0.942511,0.023466,0.037415,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,0.3,scored_leakage,Tombstone,0.0,0.124709,-0.132768,-0.115927,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.006115,0.118255,-0.116215,-0.105139,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,0.3,recall10_vs_exact_topk,Tombstone,0.974715,0.940852,0.026196,0.039223,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,0.3,scored_leakage,Tombstone,0.0,0.170248,-0.174983,-0.164392,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
