table,dataset,N,N_indexed,pattern,frac,metric,baseline,n_pairs,lethe_mean,baseline_mean,mean_diff_lethe_minus_baseline,ci_low,ci_high,p_raw,p_holm,effect_size,effect_size_type,rank_biserial,analysis_scope,metric_family,appendix_destination,attribution_policy
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,random,0.3,scored_leakage,Tombstone,10,0.0,0.146328,-0.146328,-0.15185853,-0.14197308,1.1357959e-12,2.498751e-11,-17.316966,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,random,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0048204,0.0836113,-0.0787909,-0.08220814,-0.07581237,6.8540285e-12,1.3022654e-10,-14.172367,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,random,0.3,recall10_vs_exact_topk,Tombstone,10,0.9747136,0.9402917,0.0344219,0.03225461,0.03656941,3.0854737e-10,3.7025684e-09,9.2588,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,cluster,0.3,scored_leakage,Tombstone,10,0.0,0.2042496,-0.2042496,-0.2078618,-0.20065333,3.2315725e-15,1.3572605e-13,-33.249032,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,cluster,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0061151,0.1182553,-0.1121402,-0.1142284,-0.10973206,1.1162714e-14,4.4650856e-13,-28.96748,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,cluster,0.3,recall10_vs_exact_topk,Tombstone,10,0.9747152,0.9408524,0.0338628,0.03117406,0.03630051,1.4589642e-09,8.7537851e-09,7.775532,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,hub,0.3,scored_leakage,Tombstone,10,0.0,0.23934902,-0.23934902,-0.24076724,-0.23790594,1.9500243e-19,9.3601165e-18,-97.890476,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,hub,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0093803,0.151442,-0.1420617,-0.14593465,-0.13846118,1.1775515e-13,3.2971441e-12,-22.2882,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,hub,0.3,recall10_vs_exact_topk,Tombstone,10,0.9745557,0.9425113,0.0320444,0.0289748,0.03472174,6.1263879e-09,1.3526927e-08,6.612797,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,bridge,0.3,scored_leakage,Tombstone,10,0.0,0.26026461,-0.26026461,-0.26745743,-0.25322933,1.817374e-13,4.5434351e-12,-21.237251,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,bridge,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0108197,0.1640757,-0.153256,-0.15726448,-0.1497867,6.220595e-14,1.9905904e-12,-23.928556,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,bridge,0.3,recall10_vs_exact_topk,Tombstone,10,0.9771649,0.942033,0.0351319,0.0327256,0.0372595,3.5579374e-10,3.9137311e-09,9.111983,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,random,0.3,scored_leakage,Tombstone,10,0.0,0.15078329,-0.15078329,-0.15353047,-0.14723471,1.616286e-14,6.1418867e-13,-27.799157,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,random,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0045249,0.080616,-0.0760911,-0.07916763,-0.07264945,7.9052064e-12,1.4229372e-10,-13.948537,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,random,0.3,recall10_vs_exact_topk,Tombstone,10,0.9719617,0.9378742,0.0340875,0.03163602,0.03667702,1.1832585e-09,8.2828092e-09,7.961058,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,cluster,0.3,scored_leakage,Tombstone,10,0.0,0.20540773,-0.20540773,-0.20856309,-0.20252832,6.3824404e-16,2.9359226e-14,-39.819639,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,cluster,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0072538,0.1163325,-0.1090787,-0.11159343,-0.10635555,5.0274193e-14,1.6590484e-12,-24.502317,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,cluster,0.3,recall10_vs_exact_topk,Tombstone,10,0.9709394,0.9379042,0.0330352,0.03037789,0.03547721,2.4245954e-09,1.2122977e-08,7.342916,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,hub,0.3,scored_leakage,Tombstone,10,0.0,0.24077353,-0.24077353,-0.24771267,-0.23452592,1.6026287e-13,4.1668346e-12,-21.536597,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,hub,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0089039,0.1517376,-0.1428337,-0.14656883,-0.13894529,1.4229364e-13,3.8419284e-12,-21.823564,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,hub,0.3,recall10_vs_exact_topk,Tombstone,10,0.9710088,0.9378819,0.0331269,0.0301728,0.0356854,3.3817318e-09,1.3526927e-08,7.072295,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,bridge,0.3,scored_leakage,Tombstone,10,0.0,0.26014708,-0.26014708,-0.26646898,-0.25367234,6.9815521e-14,2.1642811e-12,-23.623244,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,bridge,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0093214,0.16298,-0.1536586,-0.15703884,-0.15053889,1.919918e-14,7.1036967e-13,-27.271907,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,bridge,0.3,recall10_vs_exact_topk,Tombstone,10,0.971613,0.9368367,0.0347763,0.0317762,0.03786334,5.1759975e-09,1.3526927e-08,6.740138,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,random,0.3,scored_leakage,Tombstone,10,0.0,0.14697261,-0.14697261,-0.15013513,-0.1431642,4.5801076e-14,1.5572366e-12,-24.757672,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,random,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0049582,0.081561,-0.0766028,-0.07939932,-0.07390529,1.9556535e-12,3.9113071e-11,-16.299507,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
