dataset,N,N_indexed,method,revocations_per_s,batch_B,amortized_cost_s,compliance_window_s,seed,window_model,single_source_cost_experiment
LegalBench-RAG,1200000,1200000,Tombstone,92786.01,1,1.89443731,3788.853064,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,95939.984,1,1.88163626,3763.251682,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,98450.816,1,1.93298112,3865.941928,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,98428.386,1,1.86270712,3725.393915,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,92555.119,1,1.89645255,3792.883483,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,95833.777,2,0.96844049,3873.720204,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,96196.195,2,0.98574862,3942.952899,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,95233.967,2,0.99465929,3978.595163,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,96772.101,2,0.98041434,3921.616031,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,99868.326,2,0.97849758,3913.950269,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,92041.373,5,0.41781897,4178.081098,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,98021.74,5,0.41226056,4122.503549,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,91346.796,5,0.40934059,4093.29647,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,99080.476,5,0.41676094,4167.508518,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,94709.938,5,0.40681681,4068.062471,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,100793.733,10,0.20627446,4125.290838,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,94617.301,10,0.21133902,4226.569069,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,93559.359,10,0.21102005,4220.187182,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,97210.169,10,0.21365004,4272.795126,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,94976.657,10,0.20790006,4157.790644,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,95215.115,25,0.08525544,4262.246724,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,96095.931,25,0.08686514,4342.736724,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,96263.468,25,0.08596817,4297.889337,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,93869.828,25,0.08746386,4372.66017,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,98922.929,25,0.08762278,4380.633472,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,93589.539,100,0.02284893,4567.648384,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,95005.439,100,0.0233811,4674.113988,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,96850.261,100,0.0229316,4584.255069,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,96690.741,100,0.02290954,4579.839252,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,97059.524,100,0.02236377,4470.693135,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,100803.407,250,0.00939122,4690.651631,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,102938.8,250,0.00927909,4634.689225,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,98109.276,250,0.0094445,4717.152463,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,98697.545,250,0.00940277,4696.317464,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,99314.593,250,0.00939768,4693.80442,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,94576.132,1000,0.00250683,4992.518988,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,101375.225,1000,0.00246188,4904.02548,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,97494.395,1000,0.00250249,4984.457092,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,94626.161,1000,0.00251193,5002.716201,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,97317.007,1000,0.00246042,4900.289694,4,long_offline_consolidation,True
