dataset,N,N_indexed,method,method_family,pattern,frac,roles,users,shared_fraction,exception_rate,seed,experiment,revoked_user_drift10,unaffected_user_drift10,unaffected_user_topk_stability,unaffected_user_recall10,view_isolation_violation_rate,revoked_user_drift10_pct,unaffected_user_drift10_pct,unaffected_user_topk_stability_pct,view_isolation_violation_rate_pct,same_role_drift10,different_role_drift10,ancestor_descendant_drift10,same_role_drift10_pct,different_role_drift10_pct,ancestor_descendant_drift10_pct,revoked_user_recall10_after,metric_scope,source_role
LegalBench-RAG,1200000,1200000,Tombstone,zombie_baseline,cluster,0.3,100,10000,0.8,0.1,0,baseline_view_isolation_100roles_80shared_frac0.3,0.20894653,0.00236144,0.99763856,0.973226,0.01130894,20.894653,0.236144,99.763856,1.130894,0.00322107,0.00232461,0.00217652,0.322107,0.232461,0.217652,0.951756,topk_view_drift_not_routing_leakage,fig_recall_b_baseline_view_isolation
LegalBench-RAG,1200000,1200000,Tombstone,zombie_baseline,cluster,0.3,100,10000,0.8,0.1,1,baseline_view_isolation_100roles_80shared_frac0.3,0.20459519,0.00222328,0.99777672,0.970019,0.01222096,20.459519,0.222328,99.777672,1.222096,0.00278334,0.00238223,0.00234512,0.278334,0.238223,0.234512,0.953326,topk_view_drift_not_routing_leakage,fig_recall_b_baseline_view_isolation
LegalBench-RAG,1200000,1200000,Tombstone,zombie_baseline,cluster,0.3,100,10000,0.8,0.1,2,baseline_view_isolation_100roles_80shared_frac0.3,0.19887238,0.00257896,0.99742104,0.972364,0.01210714,19.887238,0.257896,99.742104,1.210714,0.00319042,0.00223515,0.00233703,0.319042,0.223515,0.233703,0.953448,topk_view_drift_not_routing_leakage,fig_recall_b_baseline_view_isolation
LegalBench-RAG,1200000,1200000,Tombstone,zombie_baseline,cluster,0.3,100,10000,0.8,0.1,3,baseline_view_isolation_100roles_80shared_frac0.3,0.21064778,0.00270966,0.99729034,0.97222,0.01139222,21.064778,0.270966,99.729034,1.139222,0.00288254,0.00212476,0.00242485,0.288254,0.212476,0.242485,0.947896,topk_view_drift_not_routing_leakage,fig_recall_b_baseline_view_isolation
LegalBench-RAG,1200000,1200000,Tombstone,zombie_baseline,cluster,0.3,100,10000,0.8,0.1,4,baseline_view_isolation_100roles_80shared_frac0.3,0.19763078,0.00244532,0.99755468,0.974275,0.01298234,19.763078,0.244532,99.755468,1.298234,0.00348774,0.00268957,0.00226811,0.348774,0.268957,0.226811,0.950701,topk_view_drift_not_routing_leakage,fig_recall_b_baseline_view_isolation
LegalBench-RAG,1200000,1200000,Tombstone,zombie_baseline,cluster,0.3,100,10000,0.8,0.1,5,baseline_view_isolation_100roles_80shared_frac0.3,0.1975462,0.00271946,0.99728054,0.972761,0.01261377,19.75462,0.271946,99.728054,1.261377,0.00289183,0.00235336,0.00232142,0.289183,0.235336,0.232142,0.954295,topk_view_drift_not_routing_leakage,fig_recall_b_baseline_view_isolation
LegalBench-RAG,1200000,1200000,Tombstone,zombie_baseline,cluster,0.3,100,10000,0.8,0.1,6,baseline_view_isolation_100roles_80shared_frac0.3,0.21313465,0.00237875,0.99762125,0.970564,0.01198832,21.313465,0.237875,99.762125,1.198832,0.00306295,0.00210697,0.00254426,0.306295,0.210697,0.254426,0.951115,topk_view_drift_not_routing_leakage,fig_recall_b_baseline_view_isolation
LegalBench-RAG,1200000,1200000,Tombstone,zombie_baseline,cluster,0.3,100,10000,0.8,0.1,7,baseline_view_isolation_100roles_80shared_frac0.3,0.22201825,0.00249565,0.99750435,0.974097,0.0117933,22.201825,0.249565,99.750435,1.17933,0.00283366,0.00241876,0.00242163,0.283366,0.241876,0.242163,0.947832,topk_view_drift_not_routing_leakage,fig_recall_b_baseline_view_isolation
LegalBench-RAG,1200000,1200000,Tombstone,zombie_baseline,cluster,0.3,100,10000,0.8,0.1,8,baseline_view_isolation_100roles_80shared_frac0.3,0.20371926,0.00271862,0.99728138,0.973566,0.01189487,20.371926,0.271862,99.728138,1.189487,0.00356749,0.00191402,0.0024497,0.356749,0.191402,0.24497,0.951833,topk_view_drift_not_routing_leakage,fig_recall_b_baseline_view_isolation
LegalBench-RAG,1200000,1200000,Tombstone,zombie_baseline,cluster,0.3,100,10000,0.8,0.1,9,baseline_view_isolation_100roles_80shared_frac0.3,0.2144689,0.00187464,0.99812536,0.969887,0.01186275,21.44689,0.187464,99.812536,1.186275,0.00297071,0.00213618,0.00184612,0.297071,0.213618,0.184612,0.952745,topk_view_drift_not_routing_leakage,fig_recall_b_baseline_view_isolation
