dataset,N,N_indexed,method,user_type,frac,seed,topk_drift_before_after,recall_before,recall_after,route_trace_drift_before_after,latency_delta_ms,distance_computation_delta_rate,expanded_nodes_delta_rate
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.1,0,0.0078,0.977301,0.976828,0.007667,0.019049,0.002811,0.003571
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.1,1,0.006286,0.976558,0.974984,0.00421,0.016005,0.003458,0.000909
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.1,2,0.008532,0.976191,0.977773,0.008587,0.020618,0.00231,0.002404
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.1,3,0.010458,0.978561,0.975701,0.00845,0.013843,0.00085,0.002811
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.1,4,0.007553,0.977224,0.978845,0.006725,0.016396,0.00357,0.003404
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.1,5,0.008927,0.97604,0.977563,0.006905,0.019106,0.001636,0.000601
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.1,6,0.008175,0.976076,0.977618,0.005729,0.025887,0.002299,0.001673
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.1,7,0.012401,0.975858,0.977573,0.009176,0.014874,0.002923,0.002312
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.1,8,0.008813,0.975638,0.977418,0.006842,0.01625,0.000872,0.00257
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.1,9,0.006739,0.973975,0.977809,0.005238,0.016849,0.003795,0.002284
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.1,0,0.00208,0.975811,0.976361,0.000803,0.012095,0.001586,0.000696
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.1,1,0.001108,0.97427,0.973679,0.0,0.007003,0.001171,0.003383
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.1,2,0.003997,0.975501,0.980284,0.002346,0.008989,0.001943,0.002609
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.1,3,0.002173,0.977316,0.975845,1.4e-05,0.007336,0.002906,0.00205
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.1,4,0.000935,0.976339,0.975904,0.001638,0.034585,0.003451,0.000829
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.1,5,0.002117,0.975122,0.976922,0.000973,0.019521,0.001415,0.00139
